,Unnamed: 0,Unnamed: 0.1,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Cash and Short Term Investments,51511000000.0,63913000000.0,62639000000.0,61696000000.0,69834000000.0,76826000000.0,90943000000.0,93025000000.0,94051000000.0,107162000000.0,100557000000.0,94614000000.0,80092000000.0,86427000000.0,66301000000.0,70970000000.0,87940000000.0,77153000000.0,74181000000.0,76759000000.0,67101000000.0,60452000000.0,67155000000.0,61756000000.0,55283000000.0,38074000000.0,41601000000.0,34703000000.0,33096000000.0,32463000000.0,25077000000.0,37805000000.0,41350000000.0,40711000000.0,40546000000.0,42606000000.0,39137000000.0,39820000000.0,29129000000.0
1,1,Receivables,45400000000.0,65253000000.0,51506000000.0,33908000000.0,33036000000.0,58620000000.0,37445000000.0,32075000000.0,30677000000.0,39946000000.0,45804000000.0,26474000000.0,26278000000.0,36981000000.0,48995000000.0,26367000000.0,22408000000.0,50899000000.0,35673000000.0,22632000000.0,20612000000.0,27977000000.0,29299000000.0,19042000000.0,19824000000.0,24621000000.0,30343000000.0,19907000000.0,18164000000.0,29976000000.0,27219000000.0,16841000000.0,15820000000.0,25198000000.0,20641000000.0,13453000000.0,13336000000.0,21534000000.0,18692000000.0
2,2,Inventory,5460000000.0,5876000000.0,6580000000.0,5178000000.0,5219000000.0,4973000000.0,4061000000.0,3978000000.0,3334000000.0,4097000000.0,4106000000.0,3355000000.0,4884000000.0,4988000000.0,3956000000.0,5936000000.0,7662000000.0,4421000000.0,4855000000.0,3146000000.0,2910000000.0,2712000000.0,2132000000.0,1831000000.0,2281000000.0,2451000000.0,2349000000.0,2042000000.0,2396000000.0,2283000000.0,2111000000.0,1594000000.0,1829000000.0,2122000000.0,1764000000.0,1697000000.0,1245000000.0,1455000000.0,791000000.0
3,3,Other current assets,15809000000.0,18112000000.0,14111000000.0,13641000000.0,13376000000.0,13687000000.0,11264000000.0,10987000000.0,15691000000.0,12026000000.0,12352000000.0,10530000000.0,12092000000.0,12432000000.0,12087000000.0,12488000000.0,12043000000.0,11337000000.0,13936000000.0,10338000000.0,11367000000.0,12191000000.0,8283000000.0,11132000000.0,10204000000.0,11073000000.0,15085000000.0,9291000000.0,9094000000.0,13635000000.0,9806000000.0,7825000000.0,7528000000.0,8574000000.0,6882000000.0,7270000000.0,6377000000.0,6644000000.0,6458000000.0
4,4,Total current assets,118180000000.0,153154000000.0,134836000000.0,114423000000.0,121465000000.0,154106000000.0,143713000000.0,140065000000.0,143753000000.0,163231000000.0,162819000000.0,134973000000.0,123346000000.0,140828000000.0,131339000000.0,115761000000.0,130053000000.0,143810000000.0,128645000000.0,112875000000.0,101990000000.0,103332000000.0,106869000000.0,93761000000.0,87592000000.0,76219000000.0,89378000000.0,70953000000.0,67891000000.0,83403000000.0,68531000000.0,67949000000.0,70541000000.0,80347000000.0,73286000000.0,68219000000.0,63337000000.0,72348000000.0,57653000000.0
5,5,"Property, Plant, Equpment (Net)",39304000000.0,39245000000.0,49527000000.0,38615000000.0,37815000000.0,37933000000.0,36766000000.0,35687000000.0,35889000000.0,37031000000.0,37378000000.0,37636000000.0,38746000000.0,39597000000.0,41304000000.0,38117000000.0,35077000000.0,33679000000.0,33783000000.0,29286000000.0,27163000000.0,26510000000.0,27010000000.0,25448000000.0,23203000000.0,22300000000.0,22471000000.0,21149000000.0,20151000000.0,20392000000.0,20624000000.0,17585000000.0,15120000000.0,15488000000.0,16597000000.0,16327000000.0,15026000000.0,15422000000.0,15452000000.0
6,6,Long-Term Investments,141219000000.0,138683000000.0,127877000000.0,133174000000.0,136079000000.0,118745000000.0,100887000000.0,100592000000.0,98793000000.0,99899000000.0,105341000000.0,115996000000.0,145319000000.0,158608000000.0,170799000000.0,172773000000.0,179286000000.0,207944000000.0,194714000000.0,184757000000.0,189740000000.0,185638000000.0,170430000000.0,169764000000.0,177645000000.0,177665000000.0,164065000000.0,168145000000.0,160443000000.0,145492000000.0,130162000000.0,126685000000.0,109239000000.0,118131000000.0,106215000000.0,104014000000.0,105550000000.0,97292000000.0,92122000000.0
7,7,Goodwill and Intangible Assets (Total),,,,,,,,,,,,,,,,,,8038000000.0,,8105000000.0,8090000000.0,8271000000.0,8620000000.0,8767000000.0,9092000000.0,9126000000.0,9009000000.0,8823000000.0,8772000000.0,8999000000.0,8758000000.0,6141000000.0,5983000000.0,6127000000.0,5756000000.0,5875000000.0,5536000000.0,5843000000.0,5359000000.0
8,8,Long-term assets (Other),51959000000.0,50109000000.0,38762000000.0,43628000000.0,41799000000.0,43270000000.0,42522000000.0,41000000000.0,41965000000.0,40457000000.0,32978000000.0,33634000000.0,34587000000.0,34686000000.0,22283000000.0,22546000000.0,23086000000.0,13323000000.0,18177000000.0,10150000000.0,7549000000.0,7390000000.0,8757000000.0,7862000000.0,7745000000.0,7974000000.0,5422000000.0,4081000000.0,3937000000.0,3608000000.0,3764000000.0,4160000000.0,5106000000.0,5091000000.0,5146000000.0,5421000000.0,5294000000.0,5183000000.0,5478000000.0
9,9,Total non-current assets,232482000000.0,228037000000.0,216166000000.0,215417000000.0,215693000000.0,199948000000.0,180175000000.0,177279000000.0,176647000000.0,177387000000.0,175697000000.0,187266000000.0,218652000000.0,232891000000.0,234386000000.0,233436000000.0,237449000000.0,262984000000.0,246674000000.0,232298000000.0,232542000000.0,227809000000.0,214817000000.0,211841000000.0,217685000000.0,217065000000.0,200967000000.0,202198000000.0,193303000000.0,178491000000.0,163308000000.0,154571000000.0,135448000000.0,144837000000.0,133714000000.0,131637000000.0,131406000000.0,123740000000.0,118411000000.0
