,Unnamed: 0,Unnamed: 0.1,2022-04-30 00:00:00,2022-01-31 00:00:00,2021-10-31 00:00:00,2021-07-31 00:00:00,2021-04-30 00:00:00,2021-01-31 00:00:00,2020-10-31 00:00:00,2020-07-31 00:00:00,2020-04-30 00:00:00,2020-01-31 00:00:00,2019-10-31 00:00:00,2019-07-31 00:00:00,2019-04-30 00:00:00,2019-01-31 00:00:00,2018-10-31 00:00:00,2018-07-31 00:00:00,2018-04-30 00:00:00,2018-01-31 00:00:00,2017-10-31 00:00:00,2017-07-31 00:00:00,2017-04-30 00:00:00,2017-01-31 00:00:00,2016-10-31 00:00:00,2016-07-31 00:00:00,2016-04-30 00:00:00,2016-01-31 00:00:00,2015-10-31 00:00:00,2015-07-31 00:00:00,2015-04-30 00:00:00,2015-01-31 00:00:00,2014-10-31 00:00:00,2014-07-31 00:00:00,2014-04-30 00:00:00,2014-01-31 00:00:00,2013-10-31 00:00:00,2013-07-31 00:00:00,2013-04-30 00:00:00,2013-01-31 00:00:00,2012-10-31 00:00:00
0,0,Cash and Short Term Investments,20115000000.0,21124000000.0,23356000000.0,24532000000.0,23585000000.0,30588000000.0,30012000000.0,29419000000.0,28574000000.0,27062000000.0,28035000000.0,33413000000.0,34643000000.0,40383000000.0,42593000000.0,46548000000.0,54431000000.0,73683000000.0,71588000000.0,70492000000.0,67974000000.0,71845000000.0,70968000000.0,65756000000.0,63512000000.0,60375000000.0,59107000000.0,60416000000.0,54419000000.0,53022000000.0,52107000000.0,52074000000.0,50469000000.0,47065000000.0,48201000000.0,50610000000.0,47388000000.0,46376000000.0,45000000000.0
1,1,Receivables,9587000000.0,11453000000.0,9376000000.0,10146000000.0,9073000000.0,4307000000.0,3980000000.0,5472000000.0,4569000000.0,4330000000.0,4878000000.0,5491000000.0,3795000000.0,3745000000.0,4536000000.0,5554000000.0,4274000000.0,3963000000.0,4206000000.0,5146000000.0,4635000000.0,4458000000.0,4805000000.0,5847000000.0,4047000000.0,4302000000.0,4712000000.0,5344000000.0,4889000000.0,4541000000.0,4375000000.0,5157000000.0,4443000000.0,4378000000.0,5188000000.0,5470000000.0,4942000000.0,4462000000.0,3942000000.0
2,2,Inventory,2231000000.0,2059000000.0,1832000000.0,1559000000.0,1579000000.0,1436000000.0,1303000000.0,1282000000.0,1212000000.0,1353000000.0,1344000000.0,1383000000.0,1513000000.0,1701000000.0,1572000000.0,1846000000.0,1900000000.0,1896000000.0,1693000000.0,1616000000.0,1366000000.0,1264000000.0,1176000000.0,1217000000.0,1343000000.0,1362000000.0,1482000000.0,1627000000.0,1760000000.0,1890000000.0,1676000000.0,1591000000.0,1528000000.0,1548000000.0,1466000000.0,1476000000.0,1469000000.0,1574000000.0,1709000000.0
3,3,Other current assets,4048000000.0,1164000000.0,3024000000.0,2875000000.0,2823000000.0,2553000000.0,2589000000.0,2349000000.0,2249000000.0,2481000000.0,2433000000.0,2373000000.0,2331000000.0,2231000000.0,2134000000.0,2940000000.0,1668000000.0,1583000000.0,1555000000.0,1593000000.0,1348000000.0,1329000000.0,1651000000.0,1627000000.0,2230000000.0,1618000000.0,1433000000.0,1490000000.0,1476000000.0,1565000000.0,1284000000.0,1331000000.0,1273000000.0,1263000000.0,1476000000.0,1312000000.0,1363000000.0,2122000000.0,1277000000.0
4,4,Total current assets,35981000000.0,35800000000.0,37588000000.0,39112000000.0,37060000000.0,43911000000.0,42989000000.0,43573000000.0,41307000000.0,40053000000.0,41716000000.0,47755000000.0,47311000000.0,53117000000.0,55686000000.0,61837000000.0,67141000000.0,86050000000.0,84080000000.0,83703000000.0,79962000000.0,83392000000.0,83141000000.0,78719000000.0,78571000000.0,75005000000.0,73946000000.0,73368000000.0,69331000000.0,67882000000.0,66396000000.0,67114000000.0,64288000000.0,60689000000.0,62796000000.0,65521000000.0,61417000000.0,60725000000.0,57907000000.0
5,5,"Property, Plant, Equpment (Net)",3070000000.0,3218000000.0,3356000000.0,3433000000.0,3295000000.0,2386000000.0,2412000000.0,2453000000.0,2535000000.0,2621000000.0,2669000000.0,2789000000.0,2834000000.0,2931000000.0,2956000000.0,3006000000.0,3082000000.0,3113000000.0,3202000000.0,3322000000.0,3395000000.0,3422000000.0,3499000000.0,3506000000.0,3529000000.0,3386000000.0,3346000000.0,3332000000.0,3276000000.0,3212000000.0,3233000000.0,3252000000.0,3310000000.0,3234000000.0,3273000000.0,3322000000.0,3330000000.0,3403000000.0,3409000000.0
6,6,Long-Term Investments,3407000000.0,2598000000.0,3279000000.0,3103000000.0,1528000000.0,1449000000.0,1554000000.0,1451000000.0,1427000000.0,1305000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Long-term receivables,3959000000.0,4024000000.0,4546000000.0,4884000000.0,5068000000.0,5100000000.0,5516000000.0,5714000000.0,4770000000.0,4757000000.0,4831000000.0,4958000000.0,4862000000.0,4565000000.0,4644000000.0,4882000000.0,4915000000.0,4913000000.0,4876000000.0,4738000000.0,4568000000.0,4664000000.0,4784000000.0,4158000000.0,3900000000.0,3903000000.0,4037000000.0,3858000000.0,3506000000.0,3549000000.0,3691000000.0,3918000000.0,3537000000.0,3628000000.0,3893000000.0,3911000000.0,3838000000.0,3837000000.0,3695000000.0
8,8,Goodwill and Intangible Assets (Total),41263000000.0,41758000000.0,42152000000.0,41787000000.0,41406000000.0,36195000000.0,36116000000.0,35382000000.0,35197000000.0,35518000000.0,35685000000.0,35730000000.0,35942000000.0,35563000000.0,36102000000.0,34258000000.0,34335000000.0,32865000000.0,32910000000.0,32305000000.0,32220000000.0,28939000000.0,29120000000.0,29126000000.0,29506000000.0,27280000000.0,27174000000.0,26845000000.0,27024000000.0,27137000000.0,27430000000.0,27519000000.0,27537000000.0,27779000000.0,27639000000.0,25322000000.0,25048000000.0,24903000000.0,23892000000.0
9,9,"Long Term Assets (Tax, Deferred)",4276000000.0,4269000000.0,4198000000.0,4360000000.0,4070000000.0,4109000000.0,4138000000.0,3990000000.0,3909000000.0,3896000000.0,3963000000.0,4065000000.0,4023000000.0,4081000000.0,3960000000.0,3219000000.0,3044000000.0,3097000000.0,4006000000.0,4239000000.0,4351000000.0,4293000000.0,4057000000.0,4299000000.0,,,,4454000000.0,,,,,,,,,,,
10,10,Long-term assets (Other),841000000.0,1142000000.0,862000000.0,818000000.0,1469000000.0,3900000000.0,3832000000.0,3741000000.0,3676000000.0,3581000000.0,3628000000.0,2496000000.0,2315000000.0,2205000000.0,2081000000.0,1582000000.0,1491000000.0,1472000000.0,1448000000.0,1511000000.0,1454000000.0,1538000000.0,1686000000.0,1844000000.0,3148000000.0,3068000000.0,3270000000.0,1516000000.0,3075000000.0,3142000000.0,3228000000.0,3267000000.0,3184000000.0,3097000000.0,3140000000.0,3115000000.0,3451000000.0,3510000000.0,3740000000.0
11,11,Total non-current assets,56816000000.0,57463000000.0,58393000000.0,58385000000.0,56836000000.0,51690000000.0,52014000000.0,51280000000.0,50087000000.0,50373000000.0,50776000000.0,50038000000.0,49976000000.0,49345000000.0,49743000000.0,46947000000.0,46867000000.0,45460000000.0,46442000000.0,46115000000.0,45988000000.0,42856000000.0,43146000000.0,42933000000.0,40083000000.0,37637000000.0,37827000000.0,40005000000.0,36881000000.0,37040000000.0,37582000000.0,37956000000.0,37568000000.0,37738000000.0,37945000000.0,35670000000.0,35667000000.0,35653000000.0,34736000000.0
12,12,Total Assets,92797000000.0,94262000000.0,95981000000.0,97497000000.0,93896000000.0,95601000000.0,95003000000.0,94853000000.0,91394000000.0,90426000000.0,92492000000.0,97793000000.0,97287000000.0,102462000000.0,105429000000.0,108784000000.0,114008000000.0,131510000000.0,130522000000.0,129818000000.0,125950000000.0,126248000000.0,126287000000.0,121652000000.0,118654000000.0,112642000000.0,111773000000.0,113373000000.0,106212000000.0,104922000000.0,103978000000.0,105070000000.0,101856000000.0,98427000000.0,100741000000.0,101191000000.0,97084000000.0,96378000000.0,92643000000.0
