,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Cash and Short Term Investments,104757000000.0,104693000000.0,125369000000.0,130615000000.0,130334000000.0,125407000000.0,131968000000.0,137977000000.0,136527000000.0,137626000000.0,134253000000.0,136636000000.0,133819000000.0,131618000000.0,127662000000.0,135880000000.0,133768000000.0,132270000000.0,142780000000.0,138471000000.0,132981000000.0,126018000000.0,122781000000.0,136932000000.0,113240000000.0,105552000000.0,102640000000.0,99355000000.0,96526000000.0,95438000000.0,90249000000.0,89193000000.0,85709000000.0,88425000000.0,83944000000.0,80672000000.0,77022000000.0,74483000000.0,68312000000.0,66644000000.0
1,1,Receivables,44261000000.0,32613000000.0,33520000000.0,27349000000.0,38043000000.0,26322000000.0,27312000000.0,22851000000.0,32011000000.0,22699000000.0,23525000000.0,19087000000.0,29524000000.0,19269000000.0,19680000000.0,17390000000.0,26481000000.0,17208000000.0,18428000000.0,14561000000.0,22431000000.0,12882000000.0,14343000000.0,11129000000.0,18277000000.0,12247000000.0,14507000000.0,11444000000.0,17908000000.0,12427000000.0,16186000000.0,12887000000.0,19544000000.0,13497000000.0,15986000000.0,11007000000.0,17486000000.0,11991000000.0,14317000000.0,9871000000.0
2,2,Inventory,3742000000.0,3296000000.0,3019000000.0,3411000000.0,2636000000.0,2245000000.0,1924000000.0,2705000000.0,1895000000.0,1644000000.0,1823000000.0,2622000000.0,2063000000.0,1951000000.0,1961000000.0,3614000000.0,2662000000.0,2084000000.0,2003000000.0,3211000000.0,2181000000.0,1979000000.0,1961000000.0,3122000000.0,2251000000.0,2450000000.0,2702000000.0,3816000000.0,2902000000.0,2469000000.0,2053000000.0,3141000000.0,2660000000.0,1920000000.0,1594000000.0,2613000000.0,1938000000.0,2133000000.0,1661000000.0,1624000000.0
3,3,Other current assets,16924000000.0,13320000000.0,12280000000.0,12951000000.0,13393000000.0,11640000000.0,12769000000.0,13544000000.0,11482000000.0,8536000000.0,7473000000.0,7551000000.0,10146000000.0,7049000000.0,7571000000.0,7311000000.0,6751000000.0,5097000000.0,4422000000.0,4788000000.0,5103000000.0,5434000000.0,5864000000.0,6726000000.0,5892000000.0,6598000000.0,6345000000.0,5594000000.0,5461000000.0,6376000000.0,6173000000.0,5434000000.0,4392000000.0,3740000000.0,4018000000.0,3900000000.0,3388000000.0,3241000000.0,3301000000.0,3860000000.0
4,4,Total current assets,169684000000.0,153922000000.0,174188000000.0,174326000000.0,184406000000.0,165614000000.0,173973000000.0,177077000000.0,181915000000.0,170505000000.0,167074000000.0,165896000000.0,175552000000.0,159887000000.0,156874000000.0,164195000000.0,169662000000.0,156659000000.0,167633000000.0,161031000000.0,162696000000.0,146313000000.0,144949000000.0,157909000000.0,139660000000.0,128421000000.0,127812000000.0,121656000000.0,122797000000.0,118398000000.0,116362000000.0,112439000000.0,114246000000.0,109006000000.0,106870000000.0,99450000000.0,101466000000.0,93524000000.0,89574000000.0,84051000000.0
5,5,"Property, Plant, Equpment (Net)",74398000000.0,83214000000.0,79568000000.0,75347000000.0,70803000000.0,65618000000.0,51737000000.0,47927000000.0,44151000000.0,41221000000.0,40522000000.0,38409000000.0,36477000000.0,33648000000.0,32717000000.0,31430000000.0,29460000000.0,27929000000.0,26304000000.0,24809000000.0,23734000000.0,21962000000.0,21379000000.0,19224000000.0,18356000000.0,16831000000.0,15789000000.0,15046000000.0,14731000000.0,14375000000.0,13607000000.0,13229000000.0,13011000000.0,11771000000.0,11567000000.0,10774000000.0,9991000000.0,9204000000.0,8698000000.0,8329000000.0
6,6,Long-Term Investments,6891000000.0,6907000000.0,7016000000.0,6426000000.0,6027000000.0,5429000000.0,3794000000.0,3103000000.0,2965000000.0,2660000000.0,2755000000.0,2684000000.0,2649000000.0,2403000000.0,2274000000.0,2034000000.0,1862000000.0,2818000000.0,3961000000.0,5343000000.0,6023000000.0,7381000000.0,8912000000.0,10486000000.0,10431000000.0,11315000000.0,11514000000.0,11438000000.0,12053000000.0,12019000000.0,12665000000.0,13943000000.0,14597000000.0,14792000000.0,14607000000.0,11995000000.0,10844000000.0,11193000000.0,10707000000.0,10038000000.0
7,7,Goodwill and Intangible Assets (Total),78822000000.0,78719000000.0,58383000000.0,58249000000.0,57511000000.0,57825000000.0,50774000000.0,50813000000.0,50389000000.0,48919000000.0,49374000000.0,49621000000.0,49776000000.0,49964000000.0,50059000000.0,43434000000.0,43736000000.0,44126000000.0,44389000000.0,44987000000.0,45228000000.0,45215000000.0,45525000000.0,21429000000.0,21605000000.0,22407000000.0,22055000000.0,21887000000.0,21774000000.0,28691000000.0,29154000000.0,26774000000.0,27108000000.0,17652000000.0,17625000000.0,17649000000.0,17738000000.0,17922000000.0,18068000000.0,17889000000.0
8,8,Long-term assets (Other),21897000000.0,18245000000.0,17734000000.0,17670000000.0,4451000000.0,14393000000.0,13561000000.0,13034000000.0,13138000000.0,13696000000.0,14630000000.0,14455000000.0,14723000000.0,10258000000.0,10129000000.0,9792000000.0,7442000000.0,7106000000.0,6967000000.0,6083000000.0,6076000000.0,4146000000.0,3845000000.0,3476000000.0,3416000000.0,2895000000.0,2928000000.0,2869000000.0,3117000000.0,3200000000.0,3060000000.0,3271000000.0,3422000000.0,2898000000.0,2874000000.0,2480000000.0,2392000000.0,2262000000.0,1636000000.0,1569000000.0
9,9,Total non-current assets,195156000000.0,190685000000.0,166201000000.0,161092000000.0,149373000000.0,143265000000.0,130164000000.0,123924000000.0,119396000000.0,114944000000.0,115720000000.0,113059000000.0,111004000000.0,103394000000.0,101985000000.0,93424000000.0,89186000000.0,88838000000.0,88370000000.0,88066000000.0,87616000000.0,78704000000.0,79661000000.0,54615000000.0,53808000000.0,53448000000.0,52286000000.0,51240000000.0,51675000000.0,58285000000.0,58486000000.0,57217000000.0,58138000000.0,47113000000.0,46673000000.0,42898000000.0,40965000000.0,40581000000.0,39109000000.0,37825000000.0
10,10,Total Assets,364840000000.0,344607000000.0,340389000000.0,335418000000.0,333779000000.0,308879000000.0,304137000000.0,301001000000.0,301311000000.0,285449000000.0,282794000000.0,278955000000.0,286556000000.0,263281000000.0,258859000000.0,257619000000.0,258848000000.0,245497000000.0,256003000000.0,249097000000.0,250312000000.0,225017000000.0,224610000000.0,212524000000.0,193468000000.0,181869000000.0,180098000000.0,172896000000.0,174472000000.0,176683000000.0,174848000000.0,169656000000.0,172384000000.0,156119000000.0,153543000000.0,142348000000.0,142431000000.0,134105000000.0,128683000000.0,121876000000.0
11,11,Accounts Payable,19000000000.0,16085000000.0,15314000000.0,14832000000.0,15163000000.0,13412000000.0,12770000000.0,12509000000.0,12530000000.0,9246000000.0,8811000000.0,8574000000.0,9382000000.0,7544000000.0,7563000000.0,8511000000.0,8617000000.0,7623000000.0,7850000000.0,6866000000.0,7390000000.0,6217000000.0,6580000000.0,6296000000.0,6898000000.0,6759000000.0,6936000000.0,6630000000.0,6591000000.0,6690000000.0,6932000000.0,6769000000.0,7432000000.0,4583000000.0,5398000000.0,4841000000.0,4828000000.0,4532000000.0,4356000000.0,3631000000.0
12,12,Accrued Expenses,10661000000.0,9067000000.0,7782000000.0,6894000000.0,10057000000.0,8032000000.0,6838000000.0,5714000000.0,7874000000.0,6254000000.0,5421000000.0,4676000000.0,6830000000.0,5764000000.0,4624000000.0,4271000000.0,6103000000.0,5149000000.0,4427000000.0,4108000000.0,5819000000.0,4604000000.0,3982000000.0,3621000000.0,5264000000.0,4276000000.0,3649000000.0,3450000000.0,5096000000.0,3902000000.0,3479000000.0,3740000000.0,4797000000.0,3887000000.0,3169000000.0,2856000000.0,4117000000.0,3474000000.0,2942000000.0,2666000000.0
13,13,Current Part of Debt,2749000000.0,4896000000.0,8068000000.0,6180000000.0,10825000000.0,10680000000.0,5387000000.0,6497000000.0,3749000000.0,3748000000.0,6247000000.0,3017000000.0,5516000000.0,6515000000.0,3516000000.0,6497000000.0,3998000000.0,3677000000.0,15912000000.0,9220000000.0,10121000000.0,7786000000.0,25664000000.0,14536000000.0,12904000000.0,5498000000.0,3750000000.0,10748000000.0,7484000000.0,4224000000.0,10048000000.0,5248000000.0,2000000000.0,2000000000.0,2300000000.0,3300000000.0,2999000000.0,2246000000.0,2241000000.0,2236000000.0
