,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Cash and Short Term Investments,27964000000.0,28396000000.0,23907000000.0,23871000000.0,22561000000.0,22917000000.0,19781000000.0,20809000000.0,25593000000.0,24445000000.0,14245000000.0,15818000000.0,17269000000.0,15710000000.0,14324000000.0,13849000000.0,21860000000.0,22041000000.0,15490000000.0,19794000000.0,17970000000.0,19352000000.0,13275000000.0,15667000000.0,10974000000.0,13014000000.0,12911000000.0,9925000000.0,9802000000.0,10430000000.0,9236000000.0,9212000000.0,8289000000.0,9383000000.0,9213000000.0,10719000000.0,10097000000.0,13057000000.0,11437000000.0,11954000000.0
1,1,Receivables,18718000000.0,30865000000.0,28082000000.0,28232000000.0,27217000000.0,27526000000.0,25404000000.0,25402000000.0,23976000000.0,24888000000.0,21462000000.0,21116000000.0,18175000000.0,20457000000.0,18250000000.0,18262000000.0,17646000000.0,18290000000.0,15830000000.0,15464000000.0,17770000000.0,16204000000.0,15651000000.0,14849000000.0,16701000000.0,14642000000.0,13324000000.0,14419000000.0,12194000000.0,10386000000.0,9750000000.0,9015000000.0,9424000000.0,7826000000.0,7050000000.0,6625000000.0,6694000000.0,5799000000.0,5598000000.0,4548000000.0
2,2,Other current assets,21674000000.0,4155000000.0,4449000000.0,4304000000.0,4198000000.0,4094000000.0,4076000000.0,3788000000.0,3417000000.0,2866000000.0,3076000000.0,3051000000.0,2943000000.0,2951000000.0,3032000000.0,2936000000.0,2842000000.0,2922000000.0,3101000000.0,3082000000.0,2977000000.0,2886000000.0,3105000000.0,2952000000.0,2855000000.0,2878000000.0,2998000000.0,2948000000.0,2863000000.0,2921000000.0,2962000000.0,2855000000.0,2791000000.0,2780000000.0,2757000000.0,2694000000.0,2613000000.0,2659000000.0,2773000000.0,2737000000.0
3,3,Total current assets,27964000000.0,69029000000.0,61758000000.0,61610000000.0,58916000000.0,59508000000.0,53718000000.0,54821000000.0,58918000000.0,58807000000.0,42634000000.0,43541000000.0,42038000000.0,42815000000.0,38692000000.0,38754000000.0,46634000000.0,48353000000.0,37084000000.0,40921000000.0,41239000000.0,40989000000.0,33879000000.0,35768000000.0,33298000000.0,33745000000.0,31639000000.0,29935000000.0,27566000000.0,26774000000.0,23556000000.0,22963000000.0,22851000000.0,22364000000.0,20380000000.0,21194000000.0,20618000000.0,22717000000.0,21052000000.0,20331000000.0
4,4,"Property, Plant, Equpment (Net)",,9183000000.0,8969000000.0,8730000000.0,8735000000.0,8496000000.0,8626000000.0,8151000000.0,8126000000.0,8173000000.0,8704000000.0,8501000000.0,8681000000.0,8230000000.0,8458000000.0,8042000000.0,7906000000.0,8144000000.0,7013000000.0,6562000000.0,6324000000.0,6329000000.0,5901000000.0,5524000000.0,5189000000.0,4976000000.0,4861000000.0,4532000000.0,4473000000.0,4245000000.0,4418000000.0,4309000000.0,4267000000.0,4065000000.0,4010000000.0,3829000000.0,3785000000.0,3945000000.0,3939000000.0,2619000000.0
5,5,Long-Term Investments,42427000000.0,42353000000.0,43114000000.0,44777000000.0,44061000000.0,42406000000.0,41242000000.0,39184000000.0,36778000000.0,36578000000.0,37209000000.0,36840000000.0,35696000000.0,33553000000.0,32510000000.0,31929000000.0,31237000000.0,29441000000.0,28341000000.0,27703000000.0,26397000000.0,25760000000.0,23868000000.0,23324000000.0,22211000000.0,20895000000.0,18792000000.0,18535000000.0,18996000000.0,19416000000.0,18827000000.0,19346000000.0,19274000000.0,19377000000.0,19605000000.0,18783000000.0,17976000000.0,17998000000.0,17711000000.0,17227000000.0
6,6,Goodwill and Intangible Assets (Total),,87466000000.0,85839000000.0,85871000000.0,86633000000.0,83004000000.0,82193000000.0,78461000000.0,78424000000.0,75501000000.0,76008000000.0,75726000000.0,71999000000.0,68624000000.0,68235000000.0,68201000000.0,64951000000.0,65883000000.0,63045000000.0,61859000000.0,60836000000.0,60994000000.0,56125000000.0,55902000000.0,55759000000.0,55155000000.0,52844000000.0,52085000000.0,37470000000.0,36223000000.0,36609000000.0,35936000000.0,36253000000.0,36017000000.0,35448000000.0,35770000000.0,35506000000.0,36119000000.0,35968000000.0,29388000000.0
7,7,Long-term assets (Other),119389000000.0,13207000000.0,12526000000.0,12057000000.0,11947000000.0,11757000000.0,11510000000.0,10352000000.0,10237000000.0,10008000000.0,9334000000.0,9101000000.0,8786000000.0,7975000000.0,4326000000.0,4161000000.0,3883000000.0,3748000000.0,3575000000.0,3387000000.0,3301000000.0,3085000000.0,3037000000.0,3124000000.0,3146000000.0,3084000000.0,3118000000.0,3185000000.0,2918000000.0,3061000000.0,2972000000.0,2872000000.0,2821000000.0,2799000000.0,2439000000.0,2287000000.0,2316000000.0,2347000000.0,2215000000.0,2135000000.0
8,8,Total non-current assets,161816000000.0,152209000000.0,150448000000.0,151435000000.0,151376000000.0,145663000000.0,143571000000.0,136148000000.0,133565000000.0,130260000000.0,131255000000.0,130168000000.0,125162000000.0,118382000000.0,113529000000.0,112333000000.0,107977000000.0,107216000000.0,101974000000.0,99511000000.0,96858000000.0,96168000000.0,88931000000.0,87874000000.0,86305000000.0,84110000000.0,79615000000.0,78337000000.0,63857000000.0,62945000000.0,62826000000.0,62463000000.0,62615000000.0,62258000000.0,61502000000.0,60669000000.0,59583000000.0,60409000000.0,59833000000.0,51369000000.0
9,9,Total Assets,230172000000.0,221238000000.0,215754000000.0,213045000000.0,210292000000.0,205171000000.0,197289000000.0,190969000000.0,192483000000.0,189067000000.0,173889000000.0,173709000000.0,167200000000.0,161197000000.0,152221000000.0,151087000000.0,154611000000.0,155569000000.0,139058000000.0,140432000000.0,138097000000.0,137157000000.0,122810000000.0,123642000000.0,119603000000.0,117855000000.0,111254000000.0,108272000000.0,91423000000.0,89719000000.0,86382000000.0,85426000000.0,85466000000.0,84622000000.0,81882000000.0,81863000000.0,80201000000.0,83126000000.0,80885000000.0,71700000000.0
