,Unnamed: 0,Unnamed: 0.1,2022-04-30 00:00:00,2022-01-31 00:00:00,2021-10-31 00:00:00,2021-07-31 00:00:00,2021-04-30 00:00:00,2021-01-31 00:00:00,2020-10-31 00:00:00,2020-07-31 00:00:00,2020-04-30 00:00:00,2020-01-31 00:00:00,2019-10-31 00:00:00,2019-07-31 00:00:00,2019-04-30 00:00:00,2019-01-31 00:00:00,2018-10-31 00:00:00,2018-07-31 00:00:00,2018-04-30 00:00:00,2018-01-31 00:00:00,2017-10-31 00:00:00,2017-07-31 00:00:00,2017-04-30 00:00:00,2017-01-31 00:00:00,2016-10-31 00:00:00,2016-07-31 00:00:00,2016-04-30 00:00:00,2016-01-31 00:00:00,2015-10-31 00:00:00,2015-07-31 00:00:00,2015-04-30 00:00:00,2015-01-31 00:00:00,2014-10-31 00:00:00,2014-07-31 00:00:00,2014-04-30 00:00:00,2014-01-31 00:00:00,2013-10-31 00:00:00,2013-07-31 00:00:00,2013-04-30 00:00:00,2013-01-31 00:00:00,2012-10-31 00:00:00
0,0,Cash and Short Term Investments,11817000000.0,14760000000.0,16111000000.0,22831000000.0,22846000000.0,17741000000.0,14325000000.0,16906000000.0,14930000000.0,9465000000.0,8606000000.0,9283000000.0,9255000000.0,7722000000.0,9174000000.0,15840000000.0,7885000000.0,6756000000.0,7026000000.0,6469000000.0,6545000000.0,6867000000.0,5939000000.0,7676000000.0,7597000000.0,8705000000.0,6990000000.0,5751000000.0,7759000000.0,9135000000.0,6718000000.0,6184000000.0,6012000000.0,7281000000.0,8736000000.0,9016000000.0,8855000000.0,7781000000.0,8643000000.0
1,1,Receivables,7674000000.0,8280000000.0,7349000000.0,6103000000.0,5797000000.0,6516000000.0,5770000000.0,5111000000.0,5029000000.0,6284000000.0,5612000000.0,5382000000.0,5342000000.0,6283000000.0,5785000000.0,5002000000.0,4568000000.0,5614000000.0,5865000000.0,5395000000.0,5252000000.0,5835000000.0,5344000000.0,5275000000.0,5187000000.0,5624000000.0,5012000000.0,5275000000.0,5813000000.0,6778000000.0,6091000000.0,6146000000.0,6096000000.0,6677000000.0,6206000000.0,5996000000.0,6191000000.0,6768000000.0,5567000000.0
2,2,Inventory,61229000000.0,56511000000.0,57484000000.0,47754000000.0,46383000000.0,44949000000.0,51842000000.0,41084000000.0,41217000000.0,44435000000.0,51546000000.0,44134000000.0,44751000000.0,44269000000.0,50380000000.0,41985000000.0,43303000000.0,43783000000.0,50147000000.0,43442000000.0,43361000000.0,43046000000.0,49822000000.0,43453000000.0,44513000000.0,44469000000.0,50706000000.0,45007000000.0,46310000000.0,45141000000.0,51501000000.0,45451000000.0,45315000000.0,44858000000.0,49673000000.0,42793000000.0,43138000000.0,43803000000.0,47487000000.0
3,3,Other current assets,2500000000.0,1519000000.0,2020000000.0,1555000000.0,1565000000.0,20861000000.0,1665000000.0,1895000000.0,2152000000.0,1622000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Total current assets,83220000000.0,81070000000.0,82964000000.0,78243000000.0,76591000000.0,90067000000.0,73602000000.0,64996000000.0,63328000000.0,61806000000.0,67912000000.0,61371000000.0,61739000000.0,61897000000.0,69446000000.0,66370000000.0,59242000000.0,59664000000.0,65368000000.0,56763000000.0,57336000000.0,57689000000.0,63401000000.0,58232000000.0,59097000000.0,60239000000.0,65112000000.0,58132000000.0,62133000000.0,63278000000.0,65841000000.0,59632000000.0,59687000000.0,61185000000.0,67142000000.0,60002000000.0,60176000000.0,59940000000.0,63431000000.0
5,5,"Property, Plant, Equpment (Net)",113217000000.0,112624000000.0,110331000000.0,109598000000.0,108625000000.0,92201000000.0,102232000000.0,101182000000.0,101872000000.0,105208000000.0,104326000000.0,104674000000.0,104604000000.0,104317000000.0,104358000000.0,104019000000.0,107622000000.0,107675000000.0,108155000000.0,108170000000.0,107450000000.0,107710000000.0,108676000000.0,108867000000.0,109787000000.0,110171000000.0,110835000000.0,112824000000.0,112151000000.0,114280000000.0,114975000000.0,116266000000.0,115146000000.0,115364000000.0,114654000000.0,113362000000.0,113692000000.0,113929000000.0,112561000000.0
6,6,Long-Term Investments,9890000000.0,11888000000.0,12555000000.0,11430000000.0,12407000000.0,14961000000.0,12769000000.0,9893000000.0,6220000000.0,5438000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Goodwill and Intangible Assets (Total),29438000000.0,33814000000.0,28923000000.0,29159000000.0,28872000000.0,28983000000.0,30236000000.0,29542000000.0,29416000000.0,31073000000.0,30716000000.0,31454000000.0,31416000000.0,31181000000.0,31044000000.0,17840000000.0,18850000000.0,18242000000.0,18204000000.0,18037000000.0,17575000000.0,17037000000.0,17792000000.0,16339000000.0,16751000000.0,16695000000.0,17051000000.0,17799000000.0,17531000000.0,18102000000.0,18888000000.0,19758000000.0,19515000000.0,19510000000.0,19729000000.0,19280000000.0,19734000000.0,20497000000.0,20572000000.0
8,8,Long-term assets (Other),10377000000.0,3991000000.0,10078000000.0,10122000000.0,10086000000.0,23598000000.0,22736000000.0,19950000000.0,16770000000.0,16567000000.0,15777000000.0,16174000000.0,16148000000.0,14822000000.0,14744000000.0,10835000000.0,12035000000.0,11798000000.0,10543000000.0,11413000000.0,10638000000.0,9921000000.0,10576000000.0,7905000000.0,6363000000.0,6131000000.0,6025000000.0,6178000000.0,5398000000.0,5455000000.0,5447000000.0,5649000000.0,5672000000.0,6149000000.0,5778000000.0,5693000000.0,5846000000.0,5987000000.0,6562000000.0
9,9,Total non-current assets,162922000000.0,163790000000.0,161887000000.0,160309000000.0,159990000000.0,162429000000.0,177261000000.0,172386000000.0,169564000000.0,174689000000.0,171918000000.0,173490000000.0,172805000000.0,157398000000.0,157137000000.0,139692000000.0,145685000000.0,144858000000.0,144046000000.0,144803000000.0,142382000000.0,141136000000.0,143456000000.0,139654000000.0,139608000000.0,139342000000.0,140032000000.0,140488000000.0,138614000000.0,140212000000.0,141827000000.0,144130000000.0,142830000000.0,143566000000.0,142734000000.0,140967000000.0,142011000000.0,143165000000.0,142387000000.0
