,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,1964000000.0,2083000000.0,1708000000.0,1803000000.0,2264000000.0,2235000000.0,1438000000.0,1073000000.0,257000000.0,367000000.0,1693000000.0,1755000000.0,1761000000.0,1550000000.0,2010000000.0,1654000000.0,1623000000.0,1634000000.0,-1206000000.0,1359000000.0,1344000000.0,1251000000.0,792000000.0,1142000000.0,2015000000.0,1426000000.0,899000000.0,1266000000.0,1473000000.0,1525000000.0,1447000000.0,1477000000.0,1529000000.0,1432000000.0,1308000000.0,1366000000.0,1405000000.0,1280000000.0,637000000.0,1250000000.0
1,1,Depreciation & Amortization,397000000.0,398000000.0,419000000.0,442000000.0,412000000.0,422000000.0,428000000.0,404000000.0,374000000.0,337000000.0,305000000.0,300000000.0,286000000.0,297000000.0,286000000.0,322000000.0,337000000.0,348000000.0,368000000.0,338000000.0,319000000.0,296000000.0,285000000.0,274000000.0,275000000.0,261000000.0,263000000.0,266000000.0,263000000.0,251000000.0,248000000.0,249000000.0,266000000.0,249000000.0,257000000.0,266000000.0,252000000.0,245000000.0,240000000.0,244000000.0
2,2,Non Cash Items (Other),326000000.0,-27000000.0,95000000.0,-270000000.0,-734000000.0,-658000000.0,-372000000.0,475000000.0,1623000000.0,2997000000.0,897000000.0,1074000000.0,1280000000.0,1031000000.0,1809000000.0,712000000.0,964000000.0,605000000.0,1733000000.0,768000000.0,643000000.0,680000000.0,700000000.0,337000000.0,-544000000.0,722000000.0,978000000.0,578000000.0,463000000.0,710000000.0,218000000.0,434000000.0,124000000.0,617000000.0,660000000.0,431000000.0,491000000.0,595000000.0,842000000.0,407000000.0
3,3,Accounts Receivable Change,,,,,,,,,,,,21000000.0,-268000000.0,-196000000.0,336000000.0,76000000.0,-286000000.0,122000000.0,-551000000.0,208000000.0,32000000.0,786000000.0,-817000000.0,192000000.0,-134000000.0,427000000.0,-511000000.0,68000000.0,-446000000.0,175000000.0,-331000000.0,976000000.0,-998000000.0,297000000.0,-35000000.0,-228000000.0,-296000000.0,486000000.0,-170000000.0,-539000000.0
4,4,Accounts Payable Change,1649000000.0,1087000000.0,2570000000.0,1593000000.0,1422000000.0,-196000000.0,2359000000.0,868000000.0,977000000.0,-6229000000.0,626000000.0,-4599000000.0,-282000000.0,6026000000.0,-6498000000.0,2315000000.0,249000000.0,-431000000.0,4063000000.0,2095000000.0,1163000000.0,-2072000000.0,2143000000.0,-266000000.0,-401000000.0,-296000000.0,847000000.0,1328000000.0,-151000000.0,-1230000000.0,801000000.0,651000000.0,535000000.0,607000000.0,-893000000.0,-4266000000.0,301000000.0,4946000000.0,-3953000000.0,2367000000.0
5,5,Change in payables and accrued liability,,1087000000.0,2570000000.0,1593000000.0,1422000000.0,-196000000.0,2359000000.0,868000000.0,977000000.0,-6229000000.0,193000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Change in other assets and liabilities,-77000000.0,323000000.0,205000000.0,581000000.0,-195000000.0,477000000.0,-353000000.0,-640000000.0,-1101000000.0,309000000.0,-325000000.0,429000000.0,-115000000.0,-357000000.0,1053000000.0,7000000.0,146000000.0,-215000000.0,1027000000.0,-471000000.0,-377000000.0,219000000.0,237000000.0,72000000.0,-540000000.0,-11000000.0,406000000.0,83000000.0,507000000.0,695000000.0,21000000.0,-86000000.0,144000000.0,83000000.0,-953000000.0,405000000.0,529000000.0,-5000000.0,-1128000000.0,143000000.0
7,7,Operating Cash Flow,4259000000.0,3880000000.0,5008000000.0,4172000000.0,3185000000.0,2280000000.0,3500000000.0,2180000000.0,2130000000.0,-2219000000.0,3196000000.0,-1041000000.0,2930000000.0,8547000000.0,-1252000000.0,5086000000.0,3033000000.0,2063000000.0,4959000000.0,4297000000.0,3124000000.0,1160000000.0,3340000000.0,1751000000.0,671000000.0,2529000000.0,2882000000.0,3589000000.0,2109000000.0,2126000000.0,2404000000.0,3701000000.0,1600000000.0,3285000000.0,344000000.0,-2026000000.0,2682000000.0,7547000000.0,-3532000000.0,3872000000.0
8,8,Capital expenditures,-452000000.0,-447000000.0,-471000000.0,-470000000.0,-290000000.0,-319000000.0,-436000000.0,-353000000.0,-354000000.0,-335000000.0,-431000000.0,-374000000.0,-492000000.0,-348000000.0,-439000000.0,-335000000.0,-299000000.0,-237000000.0,-250000000.0,-274000000.0,-261000000.0,-277000000.0,-400000000.0,-326000000.0,-347000000.0,-302000000.0,-462000000.0,-342000000.0,-281000000.0,-256000000.0,-341000000.0,-308000000.0,-320000000.0,-226000000.0,-371000000.0,-160000000.0,-271000000.0,-204000000.0,-288000000.0,-269000000.0
9,9,Net Aquisitions,-15000000.0,,1000000.0,,1000000.0,,-597000000.0,,,,-82000000.0,-179000000.0,-71000000.0,-20000000.0,-8000000.0,-31000000.0,-6000000.0,-475000000.0,-1000000.0,-36000000.0,-146000000.0,-28000000.0,-296000000.0,-29000000.0,-7000000.0,-155000000.0,-33000000.0,-48000000.0,-15000000.0,-59000000.0,-99000000.0,-21000000.0,-103000000.0,-6000000.0,-25000000.0,21000000.0,-180000000.0,-11000000.0,-10000000.0,1000000.0
10,10,Long-Term Investments Change (Net),-17000000.0,-1545000000.0,6916000000.0,2764000000.0,8673000000.0,224000000.0,704000000.0,-2515000000.0,-14902000000.0,3379000000.0,30000000.0,39000000.0,-2051000000.0,-1833000000.0,12728000000.0,-12833000000.0,-1497000000.0,-329000000.0,24000000.0,125000000.0,1029000000.0,-1294000000.0,460000000.0,84000000.0,-105000000.0,-74000000.0,121000000.0,490000000.0,-213000000.0,-8000000.0,1199000000.0,101000000.0,-165000000.0,327000000.0,3000000.0,32000000.0,331000000.0,-205000000.0,413000000.0,319000000.0
11,11,Other investing activities,-12131000000.0,-785000000.0,-1000000.0,-3509000000.0,1000000.0,4869000000.0,-5228000000.0,-2089000000.0,15475000000.0,18883000000.0,-4972000000.0,-239000000.0,-5176000000.0,-508000000.0,-17725000000.0,7409000000.0,-5886000000.0,348000000.0,-9318000000.0,-4366000000.0,-5479000000.0,2310000000.0,-8171000000.0,-1737000000.0,8957000000.0,4171000000.0,-5112000000.0,123000000.0,-5242000000.0,3144000000.0,-5746000000.0,-1176000000.0,-2545000000.0,1462000000.0,-5409000000.0,570000000.0,-1842000000.0,452000000.0,-3674000000.0,-1266000000.0
12,12,Investing cash flow,-12615000000.0,-2777000000.0,-11322000000.0,-1216000000.0,-2765000000.0,4774000000.0,-5557000000.0,-4957000000.0,219000000.0,21927000000.0,-5455000000.0,-753000000.0,-7790000000.0,-2709000000.0,-5444000000.0,-5790000000.0,-7688000000.0,-693000000.0,-9545000000.0,-4551000000.0,-4857000000.0,711000000.0,-8407000000.0,-2008000000.0,8498000000.0,3640000000.0,-5486000000.0,223000000.0,-5751000000.0,2821000000.0,-4987000000.0,-1404000000.0,-3133000000.0,1557000000.0,-5802000000.0,463000000.0,-1962000000.0,32000000.0,-3559000000.0,-1215000000.0
13,13,Repayment/Issuance of Debt (Net),2260000000.0,-142000000.0,4368000000.0,-2407000000.0,-4371000000.0,-1021000000.0,-1715000000.0,-3878000000.0,-5829000000.0,-8729000000.0,3026000000.0,667000000.0,-234000000.0,-1287000000.0,3677000000.0,-208000000.0,3720000000.0,-4708000000.0,8088000000.0,-4357000000.0,-27000000.0,2678000000.0,5327000000.0,-5163000000.0,2918000000.0,-3218000000.0,1280000000.0,-5288000000.0,242000000.0,-4162000000.0,2803000000.0,1435000000.0,1145000000.0,-3505000000.0,4629000000.0,-17000000.0,-3300000000.0,-2237000000.0,2775000000.0,325000000.0
14,14,"Equity Repurchase (Common, Net)",,49000000.0,-2961000000.0,-4627000000.0,-1383000000.0,31000000.0,7000000.0,0.0,-1008000000.0,16000000.0,-4676000000.0,2023000000.0,-613000000.0,-1333000000.0,-749000000.0,-760000000.0,34000000.0,-123000000.0,-1266000000.0,-1282000000.0,-828000000.0,-895000000.0,-857000000.0,-625000000.0,-1662000000.0,-1177000000.0,-1221000000.0,-1333000000.0,-1091000000.0,-737000000.0,-1073000000.0,-1056000000.0,-1170000000.0,-728000000.0,-574000000.0,-1007000000.0,-1129000000.0,-512000000.0,-949000000.0,-980000000.0
15,15,"Equity Repurchase (Preffered, Net)",-637000000.0,-1570000000.0,850000000.0,2086000000.0,-839000000.0,-513000000.0,,-1026000000.0,,-1023000000.0,,-3463000000.0,,,,,,,,,,,,,,,0.0,0.0,0.0,841000000.0,742000000.0,,,,,,,,,
16,16,Dividends Paid (Total),-408000000.0,-345000000.0,-358000000.0,-366000000.0,-361000000.0,-363000000.0,-362000000.0,-363000000.0,-366000000.0,-383000000.0,-374000000.0,-346000000.0,-347000000.0,-355000000.0,-354000000.0,-325000000.0,-321000000.0,-324000000.0,-326000000.0,-305000000.0,-307000000.0,-313000000.0,-315000000.0,-291000000.0,-299000000.0,-302000000.0,-304000000.0,-335000000.0,-265000000.0,-268000000.0,-271000000.0,-281000000.0,-243000000.0,-246000000.0,-246000000.0,-250000000.0,-221000000.0,-222000000.0,-227000000.0,-229000000.0
