,Unnamed: 0,Unnamed: 0.1,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,6277000000.0,5082000000.0,6115000000.0,3094000000.0,1398000000.0,-656000000.0,-209000000.0,-8277000000.0,3581000000.0,-6667000000.0,2580000000.0,4290000000.0,2642000000.0,3723000000.0,4056000000.0,3422000000.0,3659000000.0,3118000000.0,1986000000.0,1466000000.0,2699000000.0,438000000.0,1301000000.0,-1463000000.0,-707000000.0,-555000000.0,2057000000.0,608000000.0,2600000000.0,3472000000.0,5627000000.0,5690000000.0,4521000000.0,4958000000.0,4996000000.0,5404000000.0,6239000000.0,7297000000.0,5308000000.0
1,1,Depreciation & Amortization,3654000000.0,4813000000.0,4304000000.0,4522000000.0,4286000000.0,4486000000.0,4017000000.0,6717000000.0,4288000000.0,16429000000.0,4361000000.0,4334000000.0,4094000000.0,5252000000.0,5380000000.0,4498000000.0,4289000000.0,4735000000.0,5109000000.0,5311000000.0,4194000000.0,4203000000.0,4130000000.0,6721000000.0,4403000000.0,5400000000.0,4268000000.0,6958000000.0,4411000000.0,4873000000.0,3948000000.0,3842000000.0,4130000000.0,3635000000.0,3658000000.0,3412000000.0,3481000000.0,3554000000.0,3370000000.0
2,2,Non Cash Items (Other),-994000000.0,-495000000.0,-1371000000.0,-1076000000.0,-1017000000.0,-494000000.0,-841000000.0,801000000.0,-1373000000.0,-4294000000.0,-515000000.0,-1056000000.0,-459000000.0,-1079000000.0,-554000000.0,-1073000000.0,-668000000.0,-3002000000.0,-1653000000.0,-1757000000.0,-2017000000.0,-2105000000.0,-1321000000.0,-1980000000.0,-1322000000.0,-831000000.0,-566000000.0,-489000000.0,-2591000000.0,-1751000000.0,-1478000000.0,-361000000.0,-374000000.0,530000000.0,845000000.0,-1117000000.0,-813000000.0,-2268000000.0,-791000000.0
3,3,Accounts Receivable Change,,-7548000000.0,,,,2423000000.0,,,,1852000000.0,2254000000.0,910000000.0,473000000.0,2178000000.0,-362000000.0,-1044000000.0,-335000000.0,-1180000000.0,-662000000.0,610000000.0,317000000.0,-1666000000.0,403000000.0,-1326000000.0,468000000.0,1294000000.0,2041000000.0,-911000000.0,1207000000.0,3103000000.0,1243000000.0,-1228000000.0,1373000000.0,-197000000.0,-1408000000.0,1498000000.0,-994000000.0,396000000.0,-620000000.0
4,4,Change in inventories,,-530000000.0,,,,284000000.0,,,,7000000.0,-20000000.0,-878000000.0,-1098000000.0,325000000.0,326000000.0,-532000000.0,-543000000.0,169000000.0,268000000.0,-154000000.0,-550000000.0,371000000.0,451000000.0,-43000000.0,-176000000.0,530000000.0,166000000.0,-279000000.0,-332000000.0,785000000.0,-96000000.0,263000000.0,-1098000000.0,512000000.0,530000000.0,-759000000.0,-520000000.0,1835000000.0,-709000000.0
5,5,Change in payables and accrued liability,,5475000000.0,,,,-3576000000.0,,,,-109000000.0,-981000000.0,284000000.0,-160000000.0,-1381000000.0,183000000.0,1511000000.0,-807000000.0,1619000000.0,1520000000.0,-1051000000.0,-1090000000.0,2149000000.0,-1084000000.0,340000000.0,-1039000000.0,-2000000000.0,-1875000000.0,1116000000.0,-3010000000.0,-2791000000.0,-1293000000.0,207000000.0,140000000.0,62000000.0,1633000000.0,224000000.0,-1759000000.0,519000000.0,1087000000.0
6,6,Income tax paid,,1223000000.0,,,,-696000000.0,,,,67000000.0,159000000.0,-292000000.0,242000000.0,-119000000.0,135000000.0,-293000000.0,189000000.0,522000000.0,-247000000.0,11000000.0,245000000.0,100000000.0,234000000.0,-333000000.0,-5000000.0,-28000000.0,-20000000.0,-1109000000.0,518000000.0,-617000000.0,90000000.0,-317000000.0,103000000.0,-156000000.0,-121000000.0,-1060000000.0,350000000.0,191000000.0,-43000000.0
7,7,Change in other assets and liabilities,-882000000.0,1438000000.0,-469000000.0,414000000.0,-471000000.0,467000000.0,570000000.0,839000000.0,-1774000000.0,-1628000000.0,1391000000.0,1215000000.0,-1220000000.0,252000000.0,405000000.0,366000000.0,-741000000.0,112000000.0,-824000000.0,535000000.0,-21000000.0,217000000.0,1197000000.0,615000000.0,-481000000.0,747000000.0,-711000000.0,1326000000.0,-484000000.0,-577000000.0,639000000.0,-215000000.0,-378000000.0,1108000000.0,183000000.0,918000000.0,-270000000.0,1256000000.0,128000000.0
8,8,Operating Cash Flow,8055000000.0,9458000000.0,8579000000.0,6954000000.0,4196000000.0,2238000000.0,3537000000.0,80000000.0,4722000000.0,5657000000.0,7817000000.0,8783000000.0,5057000000.0,9151000000.0,9569000000.0,6855000000.0,5043000000.0,6093000000.0,5497000000.0,4971000000.0,3777000000.0,3707000000.0,5311000000.0,2531000000.0,1141000000.0,4557000000.0,5360000000.0,7220000000.0,2319000000.0,6497000000.0,8680000000.0,7881000000.0,8417000000.0,10452000000.0,10316000000.0,8520000000.0,5714000000.0,12780000000.0,7730000000.0
9,9,Capital expenditures,-1960000000.0,-2606000000.0,-1907000000.0,-1797000000.0,-1746000000.0,-2067000000.0,-1630000000.0,-2092000000.0,-3133000000.0,-4210000000.0,-3369000000.0,-3584000000.0,-2953000000.0,-3991000000.0,-3578000000.0,-3226000000.0,-2997000000.0,-3641000000.0,-3224000000.0,-3224000000.0,-3315000000.0,-4009000000.0,-4065000000.0,-4469000000.0,-5566000000.0,-7449000000.0,-6810000000.0,-7643000000.0,-7602000000.0,-9668000000.0,-8264000000.0,-8931000000.0,-8544000000.0,-11613000000.0,-9607000000.0,-8573000000.0,-8192000000.0,-10486000000.0,-7490000000.0
