,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,1261000000.0,1134000000.0,1428000000.0,1257000000.0,1430000000.0,1427000000.0,1359000000.0,758000000.0,1081000000.0,1581000000.0,1562000000.0,1624000000.0,1541000000.0,1416000000.0,1721000000.0,2338000000.0,1267000000.0,1439000000.0,-2519000000.0,1346000000.0,1392000000.0,1326000000.0,1037000000.0,1240000000.0,1319000000.0,1216000000.0,1194000000.0,1264000000.0,1194000000.0,1116000000.0,956000000.0,1167000000.0,1099000000.0,1017000000.0,947000000.0,990000000.0,1021000000.0,966000000.0,251000000.0,950000000.0
1,1,Depreciation & Amortization,275000000.0,330000000.0,290000000.0,308000000.0,284000000.0,341000000.0,254000000.0,255000000.0,250000000.0,243000000.0,269000000.0,263000000.0,295000000.0,261000000.0,254000000.0,286000000.0,288000000.0,288000000.0,283000000.0,285000000.0,276000000.0,271000000.0,257000000.0,260000000.0,260000000.0,253000000.0,222000000.0,219000000.0,226000000.0,216000000.0,226000000.0,227000000.0,233000000.0,238000000.0,249000000.0,245000000.0,247000000.0,248000000.0,245000000.0,226000000.0
2,2,Non Cash Items (Other),164000000.0,18000000.0,-117000000.0,-22000000.0,-469000000.0,-407000000.0,90000000.0,-129000000.0,-429000000.0,-468000000.0,95000000.0,-355000000.0,-92000000.0,-26000000.0,-620000000.0,-970000000.0,-4000000.0,-139000000.0,4292000000.0,-86000000.0,-144000000.0,-193000000.0,192000000.0,-205000000.0,-130000000.0,-17000000.0,-177000000.0,130000000.0,151000000.0,-73000000.0,-224000000.0,-200000000.0,206000000.0,-101000000.0,108000000.0,102000000.0,-78000000.0,-116000000.0,468000000.0,7000000.0
3,3,Accounts Receivable Change,-619000000.0,-285000000.0,411000000.0,-292000000.0,-270000000.0,143000000.0,54000000.0,-161000000.0,735000000.0,41000000.0,89000000.0,-176000000.0,-100000000.0,198000000.0,-367000000.0,34000000.0,158000000.0,-61000000.0,-274000000.0,-132000000.0,-299000000.0,23000000.0,-55000000.0,-135000000.0,-149000000.0,-208000000.0,149000000.0,302000000.0,-80000000.0,-170000000.0,357000000.0,-104000000.0,-271000000.0,-154000000.0,17000000.0,-187000000.0,-53000000.0,-142000000.0,41000000.0,-140000000.0
4,4,Change in inventories,-103000000.0,-331000000.0,-169000000.0,-245000000.0,-113000000.0,-158000000.0,217000000.0,47000000.0,-168000000.0,-163000000.0,176000000.0,-3000000.0,-52000000.0,-221000000.0,-44000000.0,-270000000.0,-26000000.0,-163000000.0,141000000.0,-102000000.0,-12000000.0,-286000000.0,215000000.0,-21000000.0,29000000.0,-241000000.0,250000000.0,5000000.0,61000000.0,-86000000.0,79000000.0,-57000000.0,-107000000.0,-115000000.0,135000000.0,-58000000.0,15000000.0,-51000000.0,78000000.0,25000000.0
5,5,Accounts Payable Change,-41000000.0,-199000000.0,365000000.0,-23000000.0,345000000.0,57000000.0,475000000.0,-96000000.0,-310000000.0,-54000000.0,207000000.0,-81000000.0,21000000.0,-29000000.0,267000000.0,242000000.0,167000000.0,57000000.0,520000000.0,90000000.0,199000000.0,115000000.0,272000000.0,-18000000.0,,-113000000.0,-4000000.0,11000000.0,88000000.0,-112000000.0,153000000.0,54000000.0,141000000.0,-41000000.0,384000000.0,-2000000.0,265000000.0,-295000000.0,207000000.0,-29000000.0
6,6,Change in payables and accrued liability,-139000000.0,-199000000.0,365000000.0,-23000000.0,345000000.0,57000000.0,388000000.0,193000000.0,381000000.0,-407000000.0,578000000.0,28000000.0,87000000.0,-248000000.0,486000000.0,36000000.0,-206000000.0,-242000000.0,310000000.0,-10000000.0,13000000.0,-291000000.0,230000000.0,295000000.0,225000000.0,-517000000.0,128000000.0,-131000000.0,-136000000.0,-528000000.0,332000000.0,97000000.0,144000000.0,-392000000.0,221000000.0,12000000.0,-147000000.0,-287000000.0,60000000.0,22000000.0
7,7,Change in other assets and liabilities,-9000000.0,-8000000.0,37000000.0,-138000000.0,6000000.0,-3000000.0,-55000000.0,140000000.0,-60000000.0,166000000.0,-362000000.0,171000000.0,-22000000.0,-217000000.0,-138000000.0,182000000.0,217000000.0,-43000000.0,-581000000.0,16000000.0,22000000.0,-25000000.0,-106000000.0,138000000.0,-84000000.0,-54000000.0,201000000.0,-73000000.0,-96000000.0,58000000.0,-61000000.0,49000000.0,-104000000.0,236000000.0,-393000000.0,-32000000.0,-14000000.0,18000000.0,-1000000.0,-62000000.0
8,8,Other operating activities,,,,,,,,,,-179000000.0,-385000000.0,93000000.0,9000000.0,-4000000.0,-531000000.0,-241000000.0,76000000.0,2000000.0,1680000000.0,-30000000.0,-22000000.0,14000000.0,227000000.0,-8000000.0,-113000000.0,88000000.0,-94000000.0,48000000.0,205000000.0,-102000000.0,-64000000.0,-274000000.0,91000000.0,-24000000.0,273000000.0,169000000.0,-101000000.0,-33000000.0,69000000.0,143000000.0
9,9,Operating Cash Flow,789000000.0,36000000.0,2663000000.0,1119000000.0,1278000000.0,978000000.0,2782000000.0,1007000000.0,1480000000.0,939000000.0,2614000000.0,1471000000.0,1678000000.0,1134000000.0,1559000000.0,1878000000.0,1861000000.0,1136000000.0,2172000000.0,1407000000.0,1447000000.0,940000000.0,2042000000.0,1554000000.0,1583000000.0,319000000.0,1963000000.0,1727000000.0,1408000000.0,421000000.0,1818000000.0,1233000000.0,1341000000.0,688000000.0,1668000000.0,1070000000.0,1256000000.0,341000000.0,1349000000.0,999000000.0
