,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,-5149000000.0,5149000000.0,4736000000.0,3667000000.0,6278000000.0,6197000000.0,1738000000.0,3554000000.0,3626000000.0,5796000000.0,4010000000.0,1753000000.0,5607000000.0,3749000000.0,3042000000.0,3934000000.0,3954000000.0,4367000000.0,-10713000000.0,3764000000.0,3827000000.0,4422000000.0,3814000000.0,4272000000.0,3997000000.0,4457000000.0,3215000000.0,3358000000.0,4516000000.0,4320000000.0,2521000000.0,4749000000.0,4326000000.0,4727000000.0,3519000000.0,2982000000.0,3833000000.0,3497000000.0,2567000000.0,2629000000.0
1,1,Depreciation & Amortization,,1769000000.0,1843000000.0,1814000000.0,1839000000.0,1894000000.0,1940000000.0,1818000000.0,1726000000.0,1747000000.0,1816000000.0,1727000000.0,1705000000.0,1761000000.0,1735000000.0,1731000000.0,1717000000.0,1746000000.0,1869000000.0,1711000000.0,1150000000.0,912000000.0,1055000000.0,908000000.0,900000000.0,891000000.0,1033000000.0,929000000.0,889000000.0,895000000.0,991000000.0,939000000.0,952000000.0,1013000000.0,1102000000.0,976000000.0,990000000.0,1036000000.0,1036000000.0,1005000000.0
2,2,Non Cash Items (Other),,-206000000.0,709000000.0,-682000000.0,390000000.0,-989000000.0,-759000000.0,446000000.0,-194000000.0,-655000000.0,-142000000.0,-1203000000.0,-1949000000.0,737000000.0,-1655000000.0,1779000000.0,-433000000.0,312000000.0,2723000000.0,-534000000.0,428000000.0,239000000.0,-573000000.0,234000000.0,-84000000.0,680000000.0,-1236000000.0,268000000.0,-976000000.0,711000000.0,392000000.0,-1981000000.0,206000000.0,730000000.0,158000000.0,44000000.0,-500000000.0,736000000.0,-392000000.0,1351000000.0
3,3,Accounts Receivable Change,,-427000000.0,-584000000.0,-252000000.0,38000000.0,-1617000000.0,1203000000.0,37000000.0,387000000.0,-790000000.0,371000000.0,-345000000.0,-489000000.0,154000000.0,-173000000.0,-38000000.0,-506000000.0,-499000000.0,-375000000.0,211000000.0,-343000000.0,-109000000.0,-330000000.0,356000000.0,-712000000.0,-390000000.0,493000000.0,273000000.0,-395000000.0,-786000000.0,178000000.0,168000000.0,-170000000.0,-451000000.0,240000000.0,-327000000.0,-231000000.0,-445000000.0,-97000000.0,-58000000.0
4,4,Change in inventories,,-600000000.0,-70000000.0,-360000000.0,-123000000.0,-695000000.0,519000000.0,-147000000.0,-478000000.0,-159000000.0,147000000.0,-1000000.0,-54000000.0,-369000000.0,133000000.0,-286000000.0,-169000000.0,-322000000.0,774000000.0,228000000.0,-53000000.0,-368000000.0,159000000.0,35000000.0,-253000000.0,-190000000.0,270000000.0,-182000000.0,-261000000.0,-276000000.0,-22000000.0,-493000000.0,-93000000.0,-512000000.0,177000000.0,-252000000.0,-259000000.0,-288000000.0,592000000.0,25000000.0
5,5,Change in payables and accrued liability,,-2817000000.0,2255000000.0,4232000000.0,-1714000000.0,-2336000000.0,5260000000.0,2200000000.0,204000000.0,-2523000000.0,1787000000.0,2717000000.0,1389000000.0,-1833000000.0,3220000000.0,780000000.0,1637000000.0,-1686000000.0,2386000000.0,1540000000.0,829000000.0,-2030000000.0,1876000000.0,-173000000.0,1025000000.0,-2072000000.0,1558000000.0,660000000.0,520000000.0,-2451000000.0,2021000000.0,-232000000.0,409000000.0,-1004000000.0,1232000000.0,1304000000.0,744000000.0,-1459000000.0,1548000000.0,321000000.0
6,6,Change in other assets and liabilities,,179000000.0,-2684000000.0,-2000000000.0,-1310000000.0,1620000000.0,-1558000000.0,475000000.0,-1819000000.0,-58000000.0,-1591000000.0,2879000000.0,-261000000.0,-656000000.0,-58000000.0,-1628000000.0,-121000000.0,-312000000.0,9441000000.0,-654000000.0,-66000000.0,-153000000.0,652000000.0,-271000000.0,-309000000.0,-1187000000.0,-248000000.0,834000000.0,1179000000.0,459000000.0,-1477000000.0,1504000000.0,-101000000.0,-580000000.0,-2289000000.0,1220000000.0,474000000.0,-800000000.0,-1878000000.0,-293000000.0
7,7,Operating Cash Flow,,3979000000.0,5732000000.0,8290000000.0,5314000000.0,4074000000.0,8343000000.0,8383000000.0,3452000000.0,3358000000.0,6398000000.0,7527000000.0,5948000000.0,3543000000.0,6244000000.0,6272000000.0,6079000000.0,3606000000.0,6105000000.0,6266000000.0,5772000000.0,2913000000.0,6653000000.0,5361000000.0,4564000000.0,2189000000.0,5085000000.0,6140000000.0,5472000000.0,2872000000.0,4604000000.0,4654000000.0,5529000000.0,3923000000.0,4139000000.0,5947000000.0,5051000000.0,2277000000.0,3376000000.0,4980000000.0
8,8,Capital expenditures,,-359000000.0,-1370000000.0,-735000000.0,-762000000.0,-74000000.0,-1118000000.0,-724000000.0,-592000000.0,-608000000.0,-1098000000.0,-660000000.0,1928000000.0,-403000000.0,990000000.0,-794000000.0,-25000000.0,-638000000.0,-134000000.0,-189000000.0,-595000000.0,-529000000.0,-699000000.0,-549000000.0,-97000000.0,-614000000.0,478000000.0,-362000000.0,318000000.0,-433000000.0,-1346000000.0,3157000000.0,-299000000.0,-595000000.0,-1163000000.0,-764000000.0,-730000000.0,-480000000.0,-548000000.0,-467000000.0
9,9,Net Aquisitions,,-252000000.0,-60000000.0,,,,-6374000000.0,0.0,-10000000.0,-939000000.0,-248000000.0,-216000000.0,-3663000000.0,-1683000000.0,-2000000.0,-675000000.0,-140000000.0,-82000000.0,-505000000.0,-574000000.0,-29220000000.0,-4852000000.0,-459000000.0,-3320000000.0,-725000000.0,-5000000.0,-721000000.0,0.0,0.0,-233000000.0,-1838000000.0,-291000000.0,,,-16000000.0,-645000000.0,-6000000.0,-168000000.0,-63000000.0,-99000000.0
10,10,Long-Term Investments Change (Net),,-2715000000.0,-3354000000.0,-2223000000.0,950000000.0,-761000000.0,706000000.0,-3524000000.0,-5614000000.0,-520000000.0,-308000000.0,-840000000.0,-150000000.0,765000000.0,1656000000.0,-2785000000.0,-1000000.0,-207000000.0,251000000.0,-380000000.0,17649000000.0,4444000000.0,-930000000.0,1496000000.0,2181000000.0,-917000000.0,-1080000000.0,-615000000.0,-3872000000.0,-1112000000.0,414000000.0,-2078000000.0,-7780000000.0,-1350000000.0,-173000000.0,-120000000.0,179000000.0,-751000000.0,-1934000000.0,-1375000000.0
11,11,Other investing activities,,-681000000.0,-450000000.0,295000000.0,-582000000.0,650000000.0,-1117000000.0,-571000000.0,-1306000000.0,1486000000.0,310000000.0,71000000.0,97000000.0,-96000000.0,-416000000.0,-15000000.0,-35000000.0,2000000.0,-117000000.0,-37000000.0,-81000000.0,1000000.0,-86000000.0,1000000.0,-37000000.0,-1000000.0,-68000000.0,-24000000.0,0.0,-11000000.0,-152000000.0,-53000000.0,-13000000.0,-81000000.0,-226000000.0,-24000000.0,-12000000.0,-4000000.0,42000000.0,4000000.0
12,12,Investing cash flow,,-3634000000.0,-5360000000.0,-2719000000.0,-419000000.0,-185000000.0,-7903000000.0,-4819000000.0,-7522000000.0,-581000000.0,-1344000000.0,-1645000000.0,-1788000000.0,-1417000000.0,2228000000.0,-4269000000.0,-201000000.0,-925000000.0,-505000000.0,-1180000000.0,-12247000000.0,-936000000.0,-2174000000.0,-2372000000.0,1322000000.0,-1537000000.0,-1391000000.0,-1001000000.0,-3554000000.0,-1789000000.0,-2922000000.0,735000000.0,-8092000000.0,-2026000000.0,-1578000000.0,-1553000000.0,-569000000.0,-1403000000.0,-2503000000.0,-1937000000.0
13,13,Repayment/Issuance of Debt (Net),,31000000.0,-3000000.0,654000000.0,-189000000.0,-1452000000.0,-2799000000.0,7204000000.0,2709000000.0,-19000000.0,-1935000000.0,55000000.0,4000000.0,-1005000000.0,-720000000.0,-817000000.0,52000000.0,-2464000000.0,-511000000.0,361000000.0,1918000000.0,4986000000.0,654000000.0,775000000.0,3102000000.0,3344000000.0,226000000.0,492000000.0,278000000.0,383000000.0,3704000000.0,-1692000000.0,-160000000.0,-1002000000.0,3154000000.0,-36000000.0,-866000000.0,-224000000.0,-712000000.0,-688000000.0
14,14,"Equity Repurchase (Common, Net)",,-1256000000.0,-768000000.0,-126000000.0,-324000000.0,-1202000000.0,-129000000.0,-269000000.0,-330000000.0,-1379000000.0,-52000000.0,-1511000000.0,-2117000000.0,-2112000000.0,-3339000000.0,-153000000.0,-49000000.0,-1378000000.0,-607000000.0,-176000000.0,-1573000000.0,-2940000000.0,-1948000000.0,-2020000000.0,-1943000000.0,-1879000000.0,-1441000000.0,-256000000.0,-974000000.0,-1614000000.0,-2606000000.0,-2057000000.0,-730000000.0,-188000000.0,-110000000.0,-2621000000.0,719000000.0,1123000000.0,903000000.0,669000000.0
15,15,Dividends Paid (Total),,-2787000000.0,-2791000000.0,-2791000000.0,-2791000000.0,-2659000000.0,-2658000000.0,-2659000000.0,-2659000000.0,-2505000000.0,-2500000000.0,-2499000000.0,-2522000000.0,-2396000000.0,-2411000000.0,-2415000000.0,-2415000000.0,-2253000000.0,-2256000000.0,-2254000000.0,-2262000000.0,-2171000000.0,-2170000000.0,-2185000000.0,-2197000000.0,-2069000000.0,-2072000000.0,-2076000000.0,-2079000000.0,-1946000000.0,-1956000000.0,-1967000000.0,-1978000000.0,-1867000000.0,-1862000000.0,-1862000000.0,-1856000000.0,-1706000000.0,-1690000000.0,-1683000000.0
16,16,Other financial activities,,353000000.0,362000000.0,1245000000.0,331000000.0,188000000.0,-58000000.0,-80000000.0,-77000000.0,-412000000.0,415000000.0,62000000.0,101000000.0,-3000000.0,81000000.0,-92000000.0,-262000000.0,125000000.0,-163000000.0,0.0,0.0,-25000000.0,0.0,-15000000.0,,,-7000000.0,0.0,0.0,-50000000.0,,,,,0.0,0.0,26000000.0,30000000.0,28000000.0,49000000.0
17,17,Financing cash flow,,-4385000000.0,-3436000000.0,-2207000000.0,-3279000000.0,-5125000000.0,-5644000000.0,4196000000.0,-357000000.0,-4315000000.0,-4072000000.0,-3893000000.0,-4534000000.0,-5516000000.0,-6389000000.0,-3477000000.0,-2674000000.0,-5970000000.0,-3537000000.0,-2069000000.0,-1917000000.0,-150000000.0,-3464000000.0,-3445000000.0,-1038000000.0,-604000000.0,-3294000000.0,-1840000000.0,-2775000000.0,-3227000000.0,-858000000.0,-5716000000.0,-2868000000.0,-3057000000.0,1182000000.0,-4519000000.0,-1977000000.0,-777000000.0,-1471000000.0,-1653000000.0
