,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,-1104400000.0,1104000000.0,1639000000.0,2150000000.0,2219000000.0,1537000000.0,1377200000.0,1762600000.0,483800000.0,1106900000.0,1572200000.0,1607900000.0,1516900000.0,1328400000.0,1415300000.0,1637300000.0,1496300000.0,1375400000.0,698700000.0,1883700000.0,1395100000.0,1214800000.0,1193400000.0,1275400000.0,1092900000.0,1124800000.0,1206200000.0,1309200000.0,1202400000.0,811500000.0,1097500000.0,1068400000.0,1387100000.0,1204800000.0,1397000000.0,1522200000.0,1396500000.0,1270200000.0,1396100000.0,1455000000.0
1,1,Depreciation & Amortization,,480000000.0,482000000.0,469000000.0,463000000.0,454000000.0,464300000.0,440100000.0,425700000.0,421300000.0,413600000.0,413400000.0,398300000.0,392600000.0,379000000.0,375100000.0,365000000.0,362900000.0,342800000.0,355800000.0,339500000.0,325300000.0,378900000.0,370600000.0,383300000.0,383700000.0,389700000.0,387700000.0,392200000.0,386100000.0,407500000.0,413400000.0,413200000.0,410400000.0,408600000.0,394500000.0,390900000.0,391100000.0,386000000.0,371900000.0
2,2,Non Cash Items (Other),,75800000.0,-42900000.0,-175300000.0,-403600000.0,-104200000.0,-239400000.0,-87500000.0,107900000.0,214400000.0,-102800000.0,43900000.0,101800000.0,137400000.0,17000000.0,14400000.0,-12400000.0,14100000.0,649899900.0,-679700000.0,9900000.0,-4100000.0,-226900000.0,-178800000.0,75700000.0,19600000.0,-95000000.0,56100000.0,49700000.0,275400000.0,105600000.0,209300000.0,20700000.0,56000000.0,-19700000.0,33400000.0,14800000.0,112600000.0,-58300000.0,138800000.0
3,3,Accounts Receivable Change,,,309900000.0,,,,-6800000.0,,,,27000000.0,,,,-479400000.0,,,,-340700000.0,,,,-159000000.0,,,,-180600000.0,,,,27000000.0,,,,56200000.0,,,,-29400000.0,
4,4,Change in inventories,,,-62200000.0,,,45000000.0,-68600000.0,44000000.0,43000000.0,39000000.0,128800000.0,,,,-1900000.0,,,,-37300000.0,,,,28100000.0,,,,44900000.0,,,,-4900000.0,,,,-44400000.0,,,,-27200000.0,
5,5,Accounts Payable Change,,,225000000.0,,,,-137500000.0,,,,-26800000.0,,,,129400000.0,,,,-59700000.0,,,,89800000.0,,,,-15000000.0,,,,-74700000.0,,,,-60700000.0,,,,124100000.0,
6,6,Change in payables and accrued liability,,,,,,670000000.0,44400000.0,689000000.0,538000000.0,672000000.0,-3900000.0,,,,-87400000.0,,,,-146400000.0,,,,,,,,,,,,,,,,11900000.0,,,,-116600000.0,
7,7,Income tax paid,,,-18500000.0,,,,800000.0,,,,169500000.0,,,,-33400000.0,,,,-396400000.0,,,,208100000.0,,,,318600000.0,,,,-11000000.0,,,,-154400000.0,,,,-74000000.0,
8,8,Change in other assets and liabilities,,422000000.0,61000000.0,128000000.0,-915000000.0,235000000.0,344000000.0,824300000.0,-1230500000.0,-196600000.0,6300000.0,221500000.0,-91500000.0,162200000.0,,444300000.0,-510100000.0,-107200000.0,,124700000.0,-531100000.0,8000000.0,,783900000.0,-303500000.0,217100000.0,,194400000.0,-130800000.0,226500000.0,,141800000.0,-334000000.0,236100000.0,,100400000.0,-292400000.0,-87000000.0,,33700000.0
9,9,Operating Cash Flow,,2133000000.0,2667000000.0,2618000000.0,1733000000.0,2124000000.0,1992800000.0,2939500000.0,-213100000.0,1546000000.0,1889300000.0,2286700000.0,1925500000.0,2020600000.0,1511600000.0,2471100000.0,1338800000.0,1645200000.0,1109300000.0,1684500000.0,1213400000.0,1544000000.0,814900000.0,2251100000.0,1248400000.0,1745200000.0,1378700000.0,1947400000.0,1513500000.0,1699500000.0,1503100000.0,1832900000.0,1487000000.0,1907300000.0,1873500000.0,2050500000.0,1509800000.0,1686900000.0,1850100000.0,1999400000.0
