,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Net Income,5315000000.0,4580000000.0,4613000000.0,6407000000.0,5800000000.0,5378000000.0,4718000000.0,4504000000.0,4839000000.0,4287000000.0,5217000000.0,5337000000.0,4074000000.0,5160000000.0,2065000000.0,5062000000.0,4246000000.0,4666000000.0,18783000000.0,3736000000.0,4478000000.0,3553000000.0,4600000000.0,3747000000.0,831000000.0,4430000000.0,5513000000.0,4171000000.0,4353000000.0,4338000000.0,-2148000000.0,3794000000.0,4324000000.0,5986000000.0,7916000000.0,5578000000.0,5198000000.0,4855000000.0,-1926000000.0,4292000000.0
1,1,Depreciation & Amortization,4321000000.0,4236000000.0,4051000000.0,3961000000.0,4020000000.0,4174000000.0,4197000000.0,4192000000.0,4181000000.0,4150000000.0,4105000000.0,4114000000.0,4232000000.0,4231000000.0,4352000000.0,4377000000.0,4350000000.0,4324000000.0,4456000000.0,4272000000.0,4167000000.0,4059000000.0,3987000000.0,3942000000.0,3982000000.0,4017000000.0,4039000000.0,4009000000.0,3980000000.0,3989000000.0,4068000000.0,4167000000.0,4161000000.0,4137000000.0,4183000000.0,4154000000.0,4151000000.0,4118000000.0,4137000000.0,4167000000.0
2,2,Non Cash Items (Other),1288000000.0,752000000.0,20000000.0,1085000000.0,-159000000.0,752000000.0,1300000000.0,1839000000.0,234000000.0,491000000.0,542000000.0,1172000000.0,478000000.0,304000000.0,1407000000.0,343000000.0,285000000.0,-180000000.0,-15924000000.0,829000000.0,-1690000000.0,-1139000000.0,-1064000000.0,1426000000.0,740000000.0,905000000.0,198000000.0,1105000000.0,669000000.0,1534000000.0,6734000000.0,1209000000.0,984000000.0,-1537000000.0,-2682000000.0,1728000000.0,1131000000.0,1447000000.0,4992000000.0,943000000.0
3,3,Accounts Receivable Change,,,-1592000000.0,,,,189000000.0,,,,-1471000000.0,,,,-2667000000.0,,,,-5674000000.0,,,,-5067000000.0,,,,-945000000.0,,,,-2745000000.0,,,,-843000000.0,,,,-1717000000.0,
4,4,Change in inventories,,,-905000000.0,,,1303000000.0,-369000000.0,1457000000.0,1289000000.0,1633000000.0,-76000000.0,,,,-324000000.0,,,,168000000.0,,,,61000000.0,,,,-99000000.0,,,,-132000000.0,,,,56000000.0,,,,-136000000.0,
5,5,Accounts Payable Change,,,1457000000.0,,,,-966000000.0,,,,-2359000000.0,,,,1777000000.0,,,,-459000000.0,,,,-1089000000.0,,,,2545000000.0,,,,1412000000.0,,,,925000000.0,,,,1144000000.0,
6,6,Change in payables and accrued liability,,,,,,17219000000.0,20658000000.0,17391000000.0,19297000000.0,17419000000.0,21806000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Change in other assets and liabilities,1533000000.0,627000000.0,1294000000.0,992000000.0,1216000000.0,-41000000.0,-143000000.0,-1952000000.0,4505000000.0,-1208000000.0,1095000000.0,691000000.0,-1891000000.0,-2702000000.0,1981000000.0,-406000000.0,495000000.0,-2033000000.0,6284000000.0,-2536000000.0,1277000000.0,-4998000000.0,4357000000.0,-2943000000.0,-912000000.0,-1162000000.0,-501000000.0,1027000000.0,1304000000.0,-888000000.0,121000000.0,31000000.0,779000000.0,-1626000000.0,935000000.0,582000000.0,-169000000.0,-1491000000.0,503000000.0,939000000.0
8,8,Other operating activities,-1613000000.0,614000000.0,1062000000.0,-1397000000.0,811000000.0,-569000000.0,370000000.0,337000000.0,969000000.0,1104000000.0,1945000000.0,-402000000.0,1862000000.0,88000000.0,-496000000.0,435000000.0,409000000.0,-129000000.0,209000000.0,868000000.0,-302000000.0,-99000000.0,-1820000000.0,-1356000000.0,770000000.0,-693000000.0,-149000000.0,-792000000.0,-1569000000.0,1196000000.0,164000000.0,-848000000.0,-2583000000.0,179000000.0,-59000000.0,-803000000.0,-694000000.0,-1398000000.0,-269000000.0,-854000000.0
9,9,Operating Cash Flow,10844000000.0,6821000000.0,8377000000.0,10724000000.0,10744000000.0,9694000000.0,9296000000.0,8920000000.0,14728000000.0,8824000000.0,8998000000.0,10912000000.0,8755000000.0,7081000000.0,8095000000.0,9811000000.0,9785000000.0,6648000000.0,7843000000.0,7169000000.0,7930000000.0,1376000000.0,3965000000.0,4816000000.0,5411000000.0,7497000000.0,10601000000.0,9520000000.0,8737000000.0,10169000000.0,7474000000.0,8353000000.0,7665000000.0,7139000000.0,10431000000.0,11239000000.0,9617000000.0,7531000000.0,6728000000.0,9487000000.0
