,Unnamed: 0,Unnamed: 0.1,2022-04-30 00:00:00,2022-01-31 00:00:00,2021-10-31 00:00:00,2021-07-31 00:00:00,2021-04-30 00:00:00,2021-01-31 00:00:00,2020-10-31 00:00:00,2020-07-31 00:00:00,2020-04-30 00:00:00,2020-01-31 00:00:00,2019-10-31 00:00:00,2019-07-31 00:00:00,2019-04-30 00:00:00,2019-01-31 00:00:00,2018-10-31 00:00:00,2018-07-31 00:00:00,2018-04-30 00:00:00,2018-01-31 00:00:00,2017-10-31 00:00:00,2017-07-31 00:00:00,2017-04-30 00:00:00,2017-01-31 00:00:00,2016-10-31 00:00:00,2016-07-31 00:00:00,2016-04-30 00:00:00,2016-01-31 00:00:00,2015-10-31 00:00:00,2015-07-31 00:00:00,2015-04-30 00:00:00,2015-01-31 00:00:00,2014-10-31 00:00:00,2014-07-31 00:00:00,2014-04-30 00:00:00,2014-01-31 00:00:00,2013-10-31 00:00:00,2013-07-31 00:00:00,2013-04-30 00:00:00,2013-01-31 00:00:00,2012-10-31 00:00:00,2012-07-31 00:00:00
0,0,Revenue,12835000000.0,12720000000.0,12900000000.0,13126000000.0,12803000000.0,11960000000.0,11929000000.0,12154000000.0,11983000000.0,12005000000.0,13159000000.0,13428000000.0,12958000000.0,12446000000.0,13072000000.0,12844000000.0,12463000000.0,11887000000.0,12136000000.0,12133000000.0,11940000000.0,11580000000.0,12352000000.0,12638000000.0,12000000000.0,11927000000.0,12682000000.0,12843000000.0,12137000000.0,11936000000.0,12245000000.0,12357000000.0,11545000000.0,11155000000.0,12085000000.0,12417000000.0,12216000000.0,12098000000.0,11876000000.0,11690000000.0
1,1,Revenue Growth,0.0025,0.0635,0.0814,0.08,0.0684,-0.0037,-0.0935,-0.0949,-0.0752,-0.0354,0.0067,0.0455,0.0397,0.047,0.0771,0.0586,0.0438,0.0265,-0.0175,-0.04,-0.005,-0.0291,-0.026,-0.016,-0.0113,-0.0008,0.0357,0.0393,0.0513,0.07,0.0132,-0.0048,-0.0549,-0.0779,0.0176,0.0622,0.0542,0.0495,0.0551,0.0442
2,2,Cost of Revenue,4791000000.0,4646000000.0,4837000000.0,4861000000.0,4679000000.0,4176000000.0,4348000000.0,4470000000.0,4212000000.0,4241000000.0,4695000000.0,4854000000.0,4785000000.0,4673000000.0,4926000000.0,4922000000.0,4704000000.0,4389000000.0,4709000000.0,4587000000.0,4422000000.0,4304000000.0,4468000000.0,4663000000.0,4279000000.0,4495000000.0,4850000000.0,5110000000.0,4612000000.0,4846000000.0,4912000000.0,4952000000.0,4539000000.0,5204000000.0,4678000000.0,5070000000.0,4705000000.0,4755000000.0,4637000000.0,4605000000.0
3,3,Gross Profit,8044000000.0,8074000000.0,8063000000.0,8265000000.0,8124000000.0,7784000000.0,7581000000.0,7684000000.0,7771000000.0,7764000000.0,8464000000.0,8574000000.0,8173000000.0,7773000000.0,8146000000.0,7922000000.0,7759000000.0,7498000000.0,7427000000.0,7546000000.0,7518000000.0,7276000000.0,7884000000.0,7975000000.0,7721000000.0,7432000000.0,7832000000.0,7733000000.0,7525000000.0,7090000000.0,7333000000.0,7405000000.0,7006000000.0,5951000000.0,7407000000.0,7347000000.0,7511000000.0,7343000000.0,7239000000.0,7085000000.0
4,4,R&D Expenses,1708000000.0,1670000000.0,1714000000.0,1713000000.0,1697000000.0,1527000000.0,1612000000.0,1565000000.0,1546000000.0,1570000000.0,1666000000.0,1753000000.0,1659000000.0,1557000000.0,1608000000.0,1626000000.0,1590000000.0,1549000000.0,1567000000.0,1499000000.0,1507000000.0,1508000000.0,1545000000.0,1601000000.0,1626000000.0,1509000000.0,1560000000.0,1548000000.0,1547000000.0,1529000000.0,1583000000.0,1593000000.0,1565000000.0,1412000000.0,1724000000.0,1517000000.0,1542000000.0,1452000000.0,1431000000.0,1416000000.0
5,5,SG&A Expenses,2726000000.0,2810000000.0,2812000000.0,2966000000.0,2945000000.0,2761000000.0,2761000000.0,2712000000.0,2649000000.0,2734000000.0,2999000000.0,3053000000.0,2944000000.0,2780000000.0,2621000000.0,2891000000.0,2886000000.0,2718000000.0,2891000000.0,2813000000.0,2713000000.0,2678000000.0,2973000000.0,2976000000.0,3013000000.0,2462000000.0,2982000000.0,3085000000.0,2959000000.0,2798000000.0,3019000000.0,2981000000.0,2802000000.0,2728000000.0,2926000000.0,2950000000.0,2905000000.0,2971000000.0,2976000000.0,3128000000.0
6,6,Operating Income,3610000000.0,3487000000.0,3438000000.0,3575000000.0,3465000000.0,3223000000.0,2570000000.0,3247000000.0,3414000000.0,3380000000.0,3579000000.0,3690000000.0,3513000000.0,3211000000.0,3805000000.0,3346000000.0,3134000000.0,3073000000.0,2756000000.0,3034000000.0,3169000000.0,2893000000.0,2877000000.0,3303000000.0,2984000000.0,3294000000.0,3079000000.0,2881000000.0,2925000000.0,2622000000.0,2342000000.0,2681000000.0,2542000000.0,1667000000.0,2455000000.0,2814000000.0,2942000000.0,2789000000.0,2651000000.0,2371000000.0
7,7,Interest Expense (Operating),90000000.0,88000000.0,89000000.0,98000000.0,111000000.0,113000000.0,112000000.0,119000000.0,130000000.0,158000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Non-operating Interest Expenses,115000000.0,111000000.0,121000000.0,130000000.0,153000000.0,113000000.0,112000000.0,119000000.0,130000000.0,158000000.0,178000000.0,204000000.0,211000000.0,223000000.0,221000000.0,224000000.0,237000000.0,247000000.0,235000000.0,222000000.0,219000000.0,222000000.0,198000000.0,180000000.0,175000000.0,162000000.0,159000000.0,149000000.0,139000000.0,139000000.0,139000000.0,142000000.0,146000000.0,136000000.0,140000000.0,143000000.0,145000000.0,147000000.0,148000000.0,147000000.0
9,9,Non-operating Income/Expense,398000000.0,234000000.0,242000000.0,203000000.0,115000000.0,32000000.0,111000000.0,59000000.0,30000000.0,154000000.0,107000000.0,14000000.0,102000000.0,132000000.0,104000000.0,246000000.0,119000000.0,159000000.0,206000000.0,146000000.0,22000000.0,70000000.0,76000000.0,91000000.0,99000000.0,12000000.0,58000000.0,52000000.0,110000000.0,251000000.0,18000000.0,97000000.0,100000000.0,88000000.0,85000000.0,57000000.0,3000000.0,-9000000.0,-20000000.0,15000000.0
