,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Revenue,24020000000.0,23443000000.0,24812000000.0,23341000000.0,23301000000.0,22304000000.0,22475000000.0,21082000000.0,18336000000.0,20691000000.0,20747000000.0,20729000000.0,20562000000.0,20021000000.0,20394000000.0,20348000000.0,20830000000.0,20009000000.0,20195000000.0,19650000000.0,18839000000.0,17766000000.0,18106000000.0,17820000000.0,18482000000.0,17482000000.0,17811000000.0,17102000000.0,17787000000.0,17374000000.0,18254000000.0,18467000000.0,19495000000.0,18115000000.0,18355000000.0,17575000000.0,17877000000.0,17505000000.0,17558000000.0,17052000000.0
1,1,Revenue Growth,0.0309,0.0511,0.104,0.1072,0.2708,0.078,0.0833,0.017,-0.1083,0.0335,0.0173,0.0187,-0.0129,0.0006,0.0099,0.0355,0.1057,0.1263,0.1154,0.1027,0.0193,0.0162,0.0166,0.042,0.0391,0.0062,-0.0243,-0.0739,-0.0876,-0.0409,-0.0055,0.0508,0.0905,0.0348,0.0454,0.0307,0.0851,0.0846,0.0802,0.0654
2,2,Cost of Revenue,7919000000.0,7530000000.0,8145000000.0,7174000000.0,7553000000.0,7002000000.0,7814000000.0,6972000000.0,6579000000.0,7062000000.0,7134000000.0,6867000000.0,6940000000.0,6615000000.0,6961000000.0,6589000000.0,6927000000.0,6614000000.0,7259000000.0,6925000000.0,5846000000.0,5409000000.0,5638000000.0,5486000000.0,5336000000.0,5329000000.0,5673000000.0,5224000000.0,5357000000.0,5282000000.0,5853000000.0,5399000000.0,6039000000.0,5455000000.0,5955000000.0,5344000000.0,5489000000.0,5554000000.0,6003000000.0,5597000000.0
3,3,Gross Profit,16101000000.0,15913000000.0,16667000000.0,16167000000.0,15748000000.0,15302000000.0,14661000000.0,14110000000.0,11757000000.0,13629000000.0,13613000000.0,13862000000.0,13622000000.0,13406000000.0,13433000000.0,13759000000.0,13903000000.0,13395000000.0,12936000000.0,12725000000.0,12993000000.0,12357000000.0,12468000000.0,12334000000.0,13146000000.0,12153000000.0,12138000000.0,11878000000.0,12430000000.0,12092000000.0,12401000000.0,13068000000.0,13456000000.0,12660000000.0,12400000000.0,12231000000.0,12388000000.0,11951000000.0,11555000000.0,11455000000.0
4,4,R&D Expenses,3703000000.0,3485000000.0,4749000000.0,3430000000.0,3290000000.0,3065000000.0,4032000000.0,2840000000.0,2707000000.0,2580000000.0,3232000000.0,2599000000.0,2666000000.0,2858000000.0,3224000000.0,2508000000.0,2639000000.0,2404000000.0,3643000000.0,2585000000.0,2296000000.0,2070000000.0,2688000000.0,2178000000.0,2264000000.0,2013000000.0,2864000000.0,2154000000.0,2129000000.0,1899000000.0,2635000000.0,2023000000.0,2005000000.0,1831000000.0,2411000000.0,2042000000.0,1946000000.0,1784000000.0,2331000000.0,1923000000.0
5,5,SG&A Expenses,6226000000.0,5938000000.0,7154000000.0,6000000000.0,6073000000.0,5432000000.0,6457000000.0,5431000000.0,4993000000.0,5203000000.0,6039000000.0,5374000000.0,5546000000.0,5219000000.0,5991000000.0,5543000000.0,5743000000.0,5263000000.0,6045000000.0,5423000000.0,5289000000.0,4763000000.0,5431000000.0,4772000000.0,5176000000.0,4688000000.0,5891000000.0,5081000000.0,5384000000.0,4847000000.0,5822000000.0,5468000000.0,5481000000.0,5183000000.0,5917000000.0,5314000000.0,5376000000.0,5223000000.0,5661000000.0,5228000000.0
6,6,Operating Income,5840000000.0,5862000000.0,4836000000.0,3849000000.0,6662000000.0,7429000000.0,1647000000.0,4401000000.0,3940000000.0,6509000000.0,4218000000.0,1647000000.0,7041000000.0,4422000000.0,3122000000.0,4423000000.0,4973000000.0,5481000000.0,2560000000.0,4790000000.0,4748000000.0,5575000000.0,4324000000.0,5281000000.0,4904000000.0,5294000000.0,3758000000.0,4122000000.0,5741000000.0,5575000000.0,2703000000.0,6810000000.0,5626000000.0,5424000000.0,2750000000.0,3667000000.0,4793000000.0,4261000000.0,3100000000.0,3595000000.0
7,7,Interest Expense (Operating),,204000000.0,158000000.0,233000000.0,145000000.0,179000000.0,87000000.0,44000000.0,45000000.0,25000000.0,85000000.0,48000000.0,83000000.0,102000000.0,250000000.0,243000000.0,253000000.0,259000000.0,274000000.0,229000000.0,227000000.0,204000000.0,184000000.0,192000000.0,190000000.0,160000000.0,160000000.0,123000000.0,131000000.0,138000000.0,139000000.0,130000000.0,128000000.0,136000000.0,134000000.0,105000000.0,118000000.0,125000000.0,107000000.0,135000000.0
8,8,Non-operating Interest Expenses,,22000000.0,13000000.0,13000000.0,12000000.0,15000000.0,13000000.0,12000000.0,19000000.0,67000000.0,81000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Non-operating Income/Expense,,770000000.0,181000000.0,3732000000.0,588000000.0,948000000.0,3033000000.0,2050000000.0,359000000.0,-1518000000.0,-1694000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
