,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Revenue,30715000000.0,31701000000.0,27589000000.0,29965000000.0,30476000000.0,33648000000.0,30627000000.0,30942000000.0,35334000000.0,33008000000.0,34320000000.0,36184000000.0,35952000000.0,36059000000.0,31909000000.0,32791000000.0,32834000000.0,32290000000.0,28022000000.0,29467000000.0,29173000000.0,27917000000.0,26990000000.0,27140000000.0,26846000000.0,25411000000.0,24815000000.0,24595000000.0,25642000000.0,25954000000.0,24639000000.0,26288000000.0,26741000000.0,25341000000.0,26176000000.0,25408000000.0,27579000000.0,27554000000.0,26055000000.0,27799000000.0
1,1,Revenue Growth,0.0078,-0.0579,-0.0992,-0.0316,-0.1375,0.0194,-0.1076,-0.1449,-0.0172,-0.0846,0.0756,0.1035,0.095,0.1167,0.1387,0.1128,0.1255,0.1566,0.0382,0.0857,0.0867,0.0986,0.0876,0.1035,0.047,-0.0209,0.0071,-0.0644,-0.0411,0.0242,-0.0587,0.0346,-0.0304,-0.0803,0.0046,-0.086,0.0973,-0.0527,0.0681,0.0256
2,2,Cost of Revenue,3518000000.0,1624000000.0,1418000000.0,1400000000.0,1353000000.0,1382000000.0,1292000000.0,1687000000.0,2259000000.0,4722000000.0,5761000000.0,6893000000.0,7205000000.0,6936000000.0,6046000000.0,5531000000.0,5081000000.0,4383000000.0,3565000000.0,3889000000.0,3442000000.0,2978000000.0,2713000000.0,2467000000.0,2466000000.0,2172000000.0,1930000000.0,1815000000.0,1830000000.0,1888000000.0,1889000000.0,1819000000.0,2063000000.0,2126000000.0,2259000000.0,2291000000.0,2368000000.0,2432000000.0,2402000000.0,2653000000.0
3,3,Gross Profit,30715000000.0,30717000000.0,29257000000.0,29647000000.0,30479000000.0,32266000000.0,29335000000.0,29255000000.0,33075000000.0,28286000000.0,28559000000.0,29291000000.0,28747000000.0,29123000000.0,25863000000.0,27260000000.0,27753000000.0,27907000000.0,24457000000.0,25578000000.0,25731000000.0,24939000000.0,24277000000.0,24673000000.0,24380000000.0,23239000000.0,22885000000.0,22780000000.0,23812000000.0,24066000000.0,22750000000.0,24469000000.0,24678000000.0,23215000000.0,23917000000.0,23117000000.0,25211000000.0,25122000000.0,23653000000.0,25146000000.0
4,4,SG&A Expenses,19850000000.0,20654000000.0,16600000000.0,15536000000.0,15382000000.0,14569000000.0,14159000000.0,17486000000.0,27415000000.0,25076000000.0,17673000000.0,17886000000.0,17405000000.0,17890000000.0,17022000000.0,16571000000.0,17181000000.0,17245000000.0,16203000000.0,16022000000.0,15982000000.0,16598000000.0,15598000000.0,15734000000.0,15040000000.0,15661000000.0,15514000000.0,16050000000.0,15435000000.0,15842000000.0,16249000000.0,16555000000.0,16123000000.0,15486000000.0,16100000000.0,22943000000.0,15761000000.0,15888000000.0,17269000000.0,16978000000.0
5,5,Operating Income,10865000000.0,10063000000.0,12657000000.0,14111000000.0,15097000000.0,17697000000.0,15176000000.0,11769000000.0,5660000000.0,3210000000.0,10886000000.0,11405000000.0,11342000000.0,11233000000.0,8841000000.0,10689000000.0,10572000000.0,10662000000.0,8254000000.0,9556000000.0,9749000000.0,8341000000.0,8679000000.0,8939000000.0,9340000000.0,7578000000.0,7371000000.0,6730000000.0,8377000000.0,8224000000.0,6501000000.0,7914000000.0,8555000000.0,7729000000.0,7817000000.0,34000000.0,9298000000.0,9082000000.0,6384000000.0,7986000000.0
6,6,Non-operating Income/Expense,73000000.0,119000000.0,137000000.0,76000000.0,185000000.0,,276000000.0,524000000.0,118000000.0,197000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,EBT,10865000000.0,10063000000.0,12657000000.0,14111000000.0,15097000000.0,17697000000.0,15176000000.0,11769000000.0,5660000000.0,3210000000.0,10886000000.0,11405000000.0,11342000000.0,11233000000.0,8841000000.0,10689000000.0,10572000000.0,10662000000.0,8254000000.0,9556000000.0,9749000000.0,8341000000.0,8679000000.0,8939000000.0,9340000000.0,7578000000.0,7371000000.0,6730000000.0,8377000000.0,8224000000.0,6501000000.0,7914000000.0,8555000000.0,7729000000.0,8261000000.0,34000000.0,9298000000.0,9082000000.0,6950000000.0,7986000000.0
8,8,Income Tax Provision,2216000000.0,1781000000.0,2258000000.0,2424000000.0,3149000000.0,3397000000.0,3040000000.0,2326000000.0,973000000.0,345000000.0,2366000000.0,2325000000.0,1690000000.0,2054000000.0,1775000000.0,2309000000.0,2256000000.0,1950000000.0,4022000000.0,2824000000.0,2720000000.0,1893000000.0,1952000000.0,2653000000.0,3140000000.0,2058000000.0,1937000000.0,-74000000.0,2087000000.0,2310000000.0,1570000000.0,2349000000.0,2575000000.0,2460000000.0,3020000000.0,414000000.0,2802000000.0,2553000000.0,1258000000.0,2278000000.0
9,9,Income after Tax,8649000000.0,8282000000.0,10399000000.0,11687000000.0,11948000000.0,14300000000.0,12136000000.0,9443000000.0,4687000000.0,2865000000.0,8520000000.0,9080000000.0,9652000000.0,9179000000.0,7066000000.0,8380000000.0,8316000000.0,8712000000.0,4232000000.0,6732000000.0,7029000000.0,6448000000.0,6727000000.0,6286000000.0,6200000000.0,5520000000.0,5434000000.0,6804000000.0,6290000000.0,5914000000.0,4931000000.0,5565000000.0,5980000000.0,5269000000.0,5241000000.0,-380000000.0,6496000000.0,6529000000.0,5692000000.0,5708000000.0
