,Unnamed: 0,Unnamed: 0.1,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Revenue,15901000000.0,13521000000.0,13154000000.0,11402000000.0,10627000000.0,9179000000.0,10929000000.0,9353000000.0,12057000000.0,4148000000.0,12397000000.0,11760000000.0,10816000000.0,10998000000.0,10794000000.0,10465000000.0,10037000000.0,10433000000.0,10325000000.0,9930000000.0,9434000000.0,10115000000.0,10536000000.0,9844000000.0,9312000000.0,10215000000.0,10073000000.0,9785000000.0,9425000000.0,10482000000.0,10557000000.0,10934000000.0,10264000000.0,11320000000.0,11032000000.0,11010000000.0,10671000000.0,11737000000.0,11488000000.0
1,1,Revenue Growth,0.4963,0.473,0.2036,0.2191,-0.1186,1.2129,-0.1184,-0.2047,0.1147,-0.6228,0.1485,0.1237,0.0776,0.0542,0.0454,0.0539,0.0639,0.0314,-0.02,0.0087,0.0131,-0.0098,0.046,0.006,-0.012,-0.0255,-0.0458,-0.1051,-0.0817,-0.074,-0.0431,-0.0069,-0.0381,-0.0355,-0.0397,-0.1057,-0.0904,-0.0453,-0.0444
2,2,Cost of Revenue,5380000000.0,3873000000.0,3450000000.0,3104000000.0,3199000000.0,4546000000.0,3013000000.0,2747000000.0,3312000000.0,1573000000.0,3990000000.0,3401000000.0,3052000000.0,3289000000.0,3619000000.0,3417000000.0,3184000000.0,3440000000.0,3307000000.0,3116000000.0,3049000000.0,3471000000.0,3409000000.0,3578000000.0,3572000000.0,3850000000.0,3761000000.0,3754000000.0,3569000000.0,3749000000.0,4223000000.0,4893000000.0,3903000000.0,4607000000.0,4104000000.0,4284000000.0,3959000000.0,4160000000.0,4137000000.0
3,3,Gross Profit,10521000000.0,9648000000.0,9704000000.0,8298000000.0,7428000000.0,4633000000.0,7916000000.0,6606000000.0,8745000000.0,2575000000.0,8407000000.0,8359000000.0,7764000000.0,7709000000.0,7175000000.0,7048000000.0,6853000000.0,6993000000.0,7018000000.0,6814000000.0,6385000000.0,6644000000.0,7127000000.0,6266000000.0,5740000000.0,6365000000.0,6312000000.0,6031000000.0,5856000000.0,6733000000.0,6334000000.0,6041000000.0,6361000000.0,6713000000.0,6928000000.0,6726000000.0,6712000000.0,7577000000.0,7351000000.0
4,4,R&D Expenses,2576000000.0,3067000000.0,2445000000.0,4321000000.0,2412000000.0,5754000000.0,3349000000.0,2085000000.0,2209000000.0,2400000000.0,3204000000.0,2189000000.0,1931000000.0,2214000000.0,2068000000.0,2274000000.0,3196000000.0,2314000000.0,4413000000.0,1782000000.0,1830000000.0,4787000000.0,1664000000.0,2151000000.0,1659000000.0,1797000000.0,1500000000.0,1670000000.0,1737000000.0,2283000000.0,1659000000.0,1664000000.0,1574000000.0,1835000000.0,1660000000.0,2101000000.0,1907000000.0,2223000000.0,1918000000.0
5,5,SG&A Expenses,2323000000.0,2830000000.0,2336000000.0,2281000000.0,2187000000.0,2255000000.0,2060000000.0,2085000000.0,2555000000.0,1729000000.0,2589000000.0,2712000000.0,2425000000.0,2643000000.0,2443000000.0,2508000000.0,2508000000.0,2643000000.0,2459000000.0,2500000000.0,2472000000.0,2848000000.0,2393000000.0,2458000000.0,2318000000.0,2616000000.0,2472000000.0,2624000000.0,2601000000.0,2924000000.0,2975000000.0,2973000000.0,2734000000.0,2981000000.0,2803000000.0,3140000000.0,2987000000.0,3390000000.0,3063000000.0
6,6,Operating Income,5622000000.0,3751000000.0,4923000000.0,1696000000.0,2829000000.0,-3376000000.0,2507000000.0,2436000000.0,3981000000.0,-1554000000.0,2614000000.0,3458000000.0,3408000000.0,2852000000.0,2664000000.0,2266000000.0,1149000000.0,2036000000.0,146000000.0,2532000000.0,2083000000.0,-991000000.0,3070000000.0,1657000000.0,1763000000.0,1952000000.0,2340000000.0,1737000000.0,1518000000.0,1526000000.0,1700000000.0,1404000000.0,2053000000.0,1897000000.0,2465000000.0,1485000000.0,1818000000.0,1964000000.0,2370000000.0
7,7,Interest Expense (Operating),243000000.0,209000000.0,196000000.0,202000000.0,200000000.0,207000000.0,203000000.0,209000000.0,212000000.0,220000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Non-operating Interest Expenses,7000000.0,9000000.0,7000000.0,9000000.0,11000000.0,11000000.0,9000000.0,14000000.0,25000000.0,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Non-operating Income/Expense,-761000000.0,158000000.0,343000000.0,21000000.0,158000000.0,-46000000.0,199000000.0,305000000.0,-143000000.0,52000000.0,-267000000.0,-199000000.0,-341000000.0,-247000000.0,1000000.0,-180000000.0,196000000.0,-157000000.0,54000000.0,-93000000.0,-80000000.0,-365000000.0,-183000000.0,-153000000.0,-139000000.0,-1136000000.0,57000000.0,-930000000.0,-137000000.0,10285000000.0,-210000000.0,487000000.0,38000000.0,-672000000.0,-940000000.0,-240000000.0,-268000000.0,-630000000.0,-152000000.0
