,Unnamed: 0,Unnamed: 0.1,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2018-03-31 00:00:00,2017-12-31 00:00:00,2017-09-30 00:00:00,2017-06-30 00:00:00,2017-03-31 00:00:00,2016-12-31 00:00:00,2016-09-30 00:00:00,2016-06-30 00:00:00,2016-03-31 00:00:00,2015-12-31 00:00:00,2015-09-30 00:00:00,2015-06-30 00:00:00,2015-03-31 00:00:00,2014-12-31 00:00:00,2014-09-30 00:00:00,2014-06-30 00:00:00,2014-03-31 00:00:00,2013-12-31 00:00:00,2013-09-30 00:00:00,2013-06-30 00:00:00,2013-03-31 00:00:00,2012-12-31 00:00:00,2012-09-30 00:00:00
0,0,Revenue,19381000000.0,20953000000.0,20338000000.0,18946000000.0,18109000000.0,19745000000.0,19318000000.0,17698000000.0,17214000000.0,18240000000.0,17798000000.0,17094000000.0,16462000000.0,17438000000.0,16690000000.0,16503000000.0,16281000000.0,17395000000.0,16653000000.0,16079000000.0,15605000000.0,16856000000.0,16518000000.0,16102000000.0,15755000000.0,16915000000.0,16527000000.0,17790000000.0,16930000000.0,18495000000.0,18771000000.0,12831000000.0,19641000000.0,21099000000.0,20830000000.0,20297000000.0,20598000000.0,22175000000.0,20739000000.0
1,1,Revenue Growth,0.0702,0.0612,0.0528,0.0705,0.052,0.0825,0.0854,0.0353,0.0457,0.046,0.0664,0.0358,0.0111,0.0025,0.0022,0.0264,0.0433,0.032,0.0082,-0.0014,-0.0095,-0.0035,-0.0005,-0.0949,-0.0694,-0.0854,-0.1195,0.3865,-0.138,-0.1234,-0.0988,-0.3678,-0.0465,-0.0485,0.0044,0.0949,0.02,0.0198,-0.0367
2,2,Cost of Revenue,10326000000.0,10664000000.0,10365000000.0,9791000000.0,8922000000.0,9253000000.0,9142000000.0,8942000000.0,8716000000.0,8869000000.0,8723000000.0,8938000000.0,8427000000.0,8919000000.0,8484000000.0,9070000000.0,8384000000.0,8709000000.0,8269000000.0,8402000000.0,7836000000.0,8298000000.0,8102000000.0,8382000000.0,7915000000.0,8460000000.0,8152000000.0,9257000000.0,8927000000.0,9558000000.0,9734000000.0,7942000000.0,10040000000.0,10474000000.0,10574000000.0,10577000000.0,10344000000.0,10880000000.0,10350000000.0
3,3,Gross Profit,9055000000.0,10289000000.0,9973000000.0,9155000000.0,9187000000.0,10492000000.0,10176000000.0,8756000000.0,8498000000.0,9371000000.0,9075000000.0,8156000000.0,8035000000.0,8519000000.0,8206000000.0,7433000000.0,7897000000.0,8686000000.0,8384000000.0,7677000000.0,7769000000.0,8558000000.0,8416000000.0,7720000000.0,7840000000.0,8455000000.0,8375000000.0,8533000000.0,8003000000.0,8937000000.0,9037000000.0,4889000000.0,9601000000.0,10625000000.0,10256000000.0,9720000000.0,10254000000.0,11295000000.0,10389000000.0
4,4,SG&A Expenses,5031000000.0,5121000000.0,4950000000.0,5615000000.0,5402000000.0,5112000000.0,4895000000.0,5275000000.0,5045000000.0,4889000000.0,4785000000.0,5003000000.0,4806000000.0,4623000000.0,4652000000.0,4846000000.0,4688000000.0,4767000000.0,4736000000.0,4917000000.0,4409000000.0,4683000000.0,4645000000.0,5218000000.0,4522000000.0,4602000000.0,4607000000.0,5575000000.0,4978000000.0,5358000000.0,5404000000.0,2707000000.0,6295000000.0,6323000000.0,6136000000.0,6761000000.0,6849000000.0,6803000000.0,6438000000.0
5,5,Operating Income,4024000000.0,5168000000.0,5023000000.0,3540000000.0,3785000000.0,5380000000.0,5281000000.0,3481000000.0,3453000000.0,4482000000.0,4290000000.0,-5192000000.0,3229000000.0,3896000000.0,3554000000.0,2587000000.0,3209000000.0,3919000000.0,3648000000.0,2760000000.0,3360000000.0,3875000000.0,3771000000.0,2502000000.0,3318000000.0,3853000000.0,3768000000.0,930000000.0,3025000000.0,3579000000.0,3633000000.0,2182000000.0,3306000000.0,4302000000.0,4120000000.0,2651000000.0,3405000000.0,4492000000.0,3951000000.0
6,6,Interest Expense (Operating),109000000.0,106000000.0,109000000.0,117000000.0,106000000.0,143000000.0,136000000.0,157000000.0,100000000.0,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Non-operating Interest Expenses,109000000.0,106000000.0,109000000.0,117000000.0,106000000.0,143000000.0,136000000.0,157000000.0,100000000.0,100000000.0,108000000.0,111000000.0,131000000.0,138000000.0,129000000.0,136000000.0,133000000.0,122000000.0,115000000.0,116000000.0,96000000.0,122000000.0,131000000.0,150000000.0,146000000.0,143000000.0,140000000.0,147000000.0,148000000.0,160000000.0,170000000.0,179000000.0,180000000.0,185000000.0,165000000.0,163000000.0,163000000.0,169000000.0,172000000.0
8,8,Non-operating Income/Expense,47000000.0,71000000.0,12000000.0,24000000.0,92000000.0,-503000000.0,16000000.0,-20000000.0,45000000.0,50000000.0,53000000.0,127000000.0,49000000.0,20000000.0,386000000.0,-298000000.0,44000000.0,114000000.0,103000000.0,167000000.0,-24000000.0,-619000000.0,-33000000.0,184000000.0,-92000000.0,-50000000.0,-114000000.0,339000000.0,-57000000.0,-107000000.0,-126000000.0,-11000000.0,-131000000.0,-120000000.0,-139000000.0,-122000000.0,-117000000.0,726000000.0,-125000000.0
9,9,EBT,4071000000.0,5239000000.0,5035000000.0,3564000000.0,3877000000.0,4877000000.0,5297000000.0,3461000000.0,3498000000.0,4532000000.0,4343000000.0,-5065000000.0,3278000000.0,3916000000.0,3940000000.0,2289000000.0,3253000000.0,4033000000.0,3751000000.0,2927000000.0,3336000000.0,3256000000.0,3738000000.0,2686000000.0,3226000000.0,3803000000.0,3654000000.0,1269000000.0,2968000000.0,3472000000.0,3507000000.0,2171000000.0,3175000000.0,4182000000.0,3981000000.0,2529000000.0,3288000000.0,5218000000.0,3826000000.0
