,Unnamed: 0,Unnamed: 0.1,2022-05-31 00:00:00,2022-02-28 00:00:00,2021-11-30 00:00:00,2021-08-31 00:00:00,2021-05-31 00:00:00,2021-02-28 00:00:00,2020-11-30 00:00:00,2020-08-31 00:00:00,2020-05-31 00:00:00,2020-02-29 00:00:00,2019-11-30 00:00:00,2019-08-31 00:00:00,2019-05-31 00:00:00,2019-02-28 00:00:00,2018-11-30 00:00:00,2018-08-31 00:00:00,2018-05-31 00:00:00,2018-02-28 00:00:00,2017-11-30 00:00:00,2017-08-31 00:00:00,2017-05-31 00:00:00,2017-02-28 00:00:00,2016-11-30 00:00:00,2016-08-31 00:00:00,2016-05-31 00:00:00,2016-02-29 00:00:00,2015-11-30 00:00:00,2015-08-31 00:00:00,2015-05-31 00:00:00,2015-02-28 00:00:00,2014-11-30 00:00:00,2014-08-31 00:00:00,2014-05-31 00:00:00,2014-02-28 00:00:00,2013-11-30 00:00:00,2013-08-31 00:00:00,2013-05-31 00:00:00,2013-02-28 00:00:00,2012-11-30 00:00:00,2012-08-31 00:00:00
0,0,Revenue,32597000000.0,33756000000.0,33901000000.0,34262000000.0,34030000000.0,32779000000.0,31438000000.0,25943000000.0,30364000000.0,31336000000.0,34339000000.0,17162000000.0,34591000000.0,34528000000.0,33793000000.0,33442000000.0,34334000000.0,33021000000.0,30740000000.0,30149000000.0,30118000000.0,29446000000.0,28501000000.0,28636000000.0,29498000000.0,30184000000.0,29033000000.0,28522000000.0,28795000000.0,26573000000.0,19554000000.0,19057000000.0,19401000000.0,19605000000.0,18329000000.0,17941000000.0,18313000000.0,18647000000.0,17316000000.0,17073000000.0
1,1,Revenue Growth,-0.0421,0.0298,0.0783,0.3207,0.1207,0.046,-0.0845,0.5117,-0.1222,-0.0924,0.0162,-0.4868,0.0075,0.0456,0.0993,0.1092,0.14,0.1214,0.0786,0.0528,0.021,-0.0245,-0.0183,0.004,0.0244,0.1359,0.4848,0.4967,0.4842,0.3554,0.0668,0.0622,0.0594,0.0514,0.0585,0.0508,0.0316,-0.0002,-0.0463,-0.0498
2,2,Cost of Revenue,26503000000.0,26571000000.0,26826000000.0,27434000000.0,27384000000.0,25998000000.0,24808000000.0,20104000000.0,24406000000.0,24318000000.0,27077000000.0,11852000000.0,27138000000.0,26773000000.0,26152000000.0,25867000000.0,26554000000.0,24925000000.0,23399000000.0,22809000000.0,22973000000.0,21885000000.0,21385000000.0,21481000000.0,22065000000.0,22317000000.0,21614000000.0,21428000000.0,21314000000.0,19691000000.0,14258000000.0,13730000000.0,13961000000.0,13955000000.0,13177000000.0,12750000000.0,13091000000.0,13040000000.0,12217000000.0,12238000000.0
3,3,Gross Profit,6094000000.0,7185000000.0,7075000000.0,6828000000.0,6646000000.0,6781000000.0,6630000000.0,5839000000.0,5958000000.0,7018000000.0,7262000000.0,5310000000.0,7453000000.0,7755000000.0,7641000000.0,7575000000.0,7780000000.0,8096000000.0,7341000000.0,7340000000.0,7145000000.0,7561000000.0,7116000000.0,7155000000.0,7433000000.0,7867000000.0,7419000000.0,7094000000.0,7481000000.0,6882000000.0,5296000000.0,5327000000.0,5440000000.0,5650000000.0,5152000000.0,5191000000.0,5222000000.0,5607000000.0,5099000000.0,4835000000.0
4,4,SG&A Expenses,7019000000.0,6565000000.0,6391000000.0,5870000000.0,5523000000.0,6029000000.0,5792000000.0,5381000000.0,7884000000.0,5909000000.0,6262000000.0,4722000000.0,6235000000.0,6320000000.0,6280000000.0,6228000000.0,6235000000.0,6321000000.0,5910000000.0,6291000000.0,5712000000.0,6124000000.0,5686000000.0,6049000000.0,5903000000.0,6007000000.0,5951000000.0,6258000000.0,6080000000.0,5606000000.0,4456000000.0,4493000000.0,4551000000.0,4569000000.0,4379000000.0,4286000000.0,4362000000.0,4497000000.0,4398000000.0,4249000000.0
5,5,Operating Income,-320000000.0,1247000000.0,1284000000.0,911000000.0,1134000000.0,832000000.0,-535000000.0,515000000.0,-1683000000.0,1137000000.0,1013000000.0,646000000.0,1202000000.0,1518000000.0,1400000000.0,1396000000.0,1597000000.0,1977000000.0,1319000000.0,1041000000.0,1517000000.0,1479000000.0,1447000000.0,1140000000.0,1533000000.0,1860000000.0,1468000000.0,836000000.0,1401000000.0,1377000000.0,1054000000.0,1029000000.0,1024000000.0,1217000000.0,924000000.0,1181000000.0,991000000.0,1215000000.0,705000000.0,586000000.0
6,6,Interest Expense (Operating),108000000.0,100000000.0,86000000.0,88000000.0,545000000.0,137000000.0,140000000.0,156000000.0,155000000.0,162000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Non-operating Interest Expenses,108000000.0,100000000.0,86000000.0,87000000.0,545000000.0,137000000.0,136000000.0,143000000.0,148000000.0,156000000.0,166000000.0,121000000.0,187000000.0,181000000.0,161000000.0,159000000.0,157000000.0,151000000.0,149000000.0,193000000.0,155000000.0,172000000.0,173000000.0,171000000.0,147000000.0,140000000.0,138000000.0,255000000.0,151000000.0,144000000.0,55000000.0,43000000.0,35000000.0,37000000.0,41000000.0,55000000.0,50000000.0,23000000.0,37000000.0,37000000.0
8,8,Non-operating Income/Expense,-1000000.0,-39000000.0,2812000000.0,193000000.0,255000000.0,114000000.0,-73000000.0,-97000000.0,-180000000.0,-128000000.0,-131000000.0,-105000000.0,-5000000.0,-162000000.0,-135000000.0,265000000.0,-157000000.0,-139000000.0,-283000000.0,-109000000.0,-163000000.0,-187000000.0,-172000000.0,93000000.0,-119000000.0,-636000000.0,-195000000.0,-877000000.0,310000000.0,1066000000.0,144000000.0,-814000000.0,89000000.0,-96000000.0,184000000.0,-12000000.0,27000000.0,-23000000.0,-37000000.0,-37000000.0
9,9,Investment Gain/Loss (Other),5000000.0,31000000.0,-7000000.0,24000000.0,575000000.0,13000000.0,15000000.0,22000000.0,6000000.0,12000000.0,-9000000.0,-11000000.0,-5000000.0,9000000.0,15000000.0,12000000.0,15000000.0,14000000.0,13000000.0,1000000.0,-21000000.0,16000000.0,12000000.0,9000000.0,15000000.0,9000000.0,11000000.0,9000000.0,7000000.0,8000000.0,,,,,,,,,,
